Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
32;-3.12;0.15;9.14;0.04;0.39;-0.43;-4.35;-5.62;0.08
41;-3.15;0.19;9.05;0.04;0.39;-0.43;-4.29;-5.62;-0.31
50;-3.10;0.21;9.11;0.04;0.39;-0.43;-4.45;-5.18;-0.26
58;-3.14;0.21;8.94;0.04;0.39;-0.43;-3.88;-4.83;-0.46
67;-3.08;0.18;9.12;0.04;0.39;-0.43;-3.88;-4.71;-0.58
76;-3.16;0.14;9.06;0.04;0.39;-0.43;-3.46;-4.62;-0.89
85;-3.14;0.10;9.07;0.04;0.39;-0.43;-4.03;-4.46;-0.77
93;-3.13;0.12;9.12;0.04;0.39;-0.43;-4.41;-3.88;-0.76
102;-3.09;0.16;9.14;0.04;0.39;-0.43;-4.40;-3.54;-0.77
111;-3.11;0.19;8.98;0.04;0.38;-0.43;-3.95;-3.46;-1.20
120;-3.12;0.20;9.04;0.04;0.38;-0.43;-4.16;-3.42;-1.13
129;-3.10;0.20;8.91;0.04;0.38;-0.43;-3.94;-3.05;-1.07
137;-3.06;0.22;8.95;0.04;0.39;-0.43;-3.59;-2.38;-1.26
146;-3.09;0.17;9.15;0.04;0.39;-0.43;-2.57;-2.31;-1.40
155;-3.14;0.15;9.08;0.04;0.39;-0.43;-1.99;-1.82;-1.49
164;-3.08;0.10;9.18;0.04;0.39;-0.43;-2.13;-1.74;-1.62
172;-3.14;0.09;9.12;0.04;0.39;-0.43;-2.15;-0.99;-1.60
181;-3.09;0.11;9.03;0.04;0.39;-0.42;-2.14;-0.45;-1.51
190;-3.12;0.13;9.12;0.05;0.39;-0.42;-2.09;-0.21;-1.32
199;-3.14;0.19;9.07;0.05;0.39;-0.42;-1.88;0.00;-1.34
207;-3.13;0.17;9.11;0.04;0.39;-0.44;-1.35;0.00;-1.38
216;-3.09;0.19;9.16;0.04;0.39;-0.44;-1.20;0.15;-1.27
225;-3.17;0.14;9.03;0.04;0.39;-0.44;-0.86;0.40;-1.13
234;-3.12;0.19;9.09;0.05;0.39;-0.43;-0.94;0.95;-0.81
242;-3.08;0.16;9.02;0.05;0.39;-0.43;-1.20;1.14;-1.01
251;-3.12;0.13;9.03;0.05;0.39;-0.43;-1.07;0.72;-0.89
260;-3.12;0.14;9.09;0.04;0.39;-0.43;-0.97;0.94;-0.71
