Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
32;-1.14;-9.79;-1.95;0.07;0.94;-0.09;0.21;-6.65;3.64
41;-1.15;-9.87;-1.99;0.07;0.94;-0.09;-0.91;-7.14;2.10
50;-1.12;-9.85;-1.81;0.07;0.94;-0.09;-2.31;-7.63;1.47
59;-1.23;-9.88;-1.66;0.07;0.94;-0.09;-3.15;-7.56;1.05
67;-1.26;-9.91;-1.41;0.07;0.94;-0.09;-3.85;-7.49;0.56
76;-1.22;-9.96;-1.26;0.07;0.94;-0.09;-3.29;-6.58;0.49
85;-1.26;-9.98;-1.11;0.07;0.94;-0.10;-3.08;-5.53;0.77
94;-1.28;-9.98;-1.18;0.07;0.94;-0.10;-2.59;-4.97;0.98
102;-1.16;-9.88;-1.07;0.07;0.94;-0.10;-3.22;-4.69;0.56
111;-1.13;-9.87;-1.14;0.07;0.94;-0.09;-3.50;-4.41;0.14
120;-1.13;-9.83;-0.95;0.07;0.94;-0.09;-3.08;-4.13;-0.14
129;-1.18;-9.76;-1.15;0.07;0.94;-0.09;-3.01;-3.92;-0.49
137;-1.19;-9.81;-1.23;0.07;0.94;-0.10;-2.94;-2.87;-0.91
146;-1.13;-9.80;-1.11;0.07;0.94;-0.10;-3.36;-2.24;-1.82
155;-1.06;-9.82;-1.30;0.07;0.94;-0.10;-3.36;-1.61;-1.82
164;-1.15;-9.96;-1.36;0.07;0.94;-0.09;-3.64;-1.12;-2.45
172;-1.23;-9.99;-1.38;0.07;0.94;-0.09;-2.73;-0.49;-1.96
181;-1.21;-10.09;-1.31;0.07;0.95;-0.09;-2.17;0.07;-2.03
190;-1.32;-10.04;-1.30;0.07;0.95;-0.09;-1.68;0.77;-1.47
199;-1.33;-10.01;-1.28;0.07;0.95;-0.09;-1.19;1.33;-0.98
208;-1.43;-9.96;-1.40;0.07;0.95;-0.08;-0.84;0.84;-0.35
216;-1.42;-9.92;-1.36;0.07;0.95;-0.08;-0.14;-0.21;0.28
225;-1.38;-9.96;-1.37;0.07;0.95;-0.08;17.71;-0.56;0.42
234;-1.40;-9.94;-1.24;0.07;0.94;-0.07;0.14;-1.33;0.14
242;-1.40;-9.87;-1.26;0.07;0.94;-0.07;-0.14;-1.12;-0.21
251;-1.30;-9.93;-1.04;0.07;0.94;-0.07;-0.63;-0.49;-0.14
260;-1.29;-9.91;-1.03;0.06;0.94;-0.09;-0.98;0.91;0.00
269;-1.31;-9.91;-0.96;0.06;0.94;-0.09;-0.07;1.40;0.07
278;-1.34;-9.93;-0.98;0.06;0.94;-0.09;0.56;2.17;0.07
286;-1.16;-9.88;-1.08;0.07;0.94;-0.08;1.12;2.52;0.07
295;-1.16;-9.86;-1.10;0.07;0.94;-0.08;1.61;2.94;0.56
304;-1.13;-9.90;-1.20;0.07;0.94;-0.08;1.47;2.87;0.49
312;-0.99;-9.93;-1.16;0.07;0.95;-0.09;1.26;2.52;0.28
321;-1.07;-9.93;-1.35;0.07;0.95;-0.09;1.26;1.68;0.21
330;-1.12;-9.99;-1.34;0.07;0.95;-0.09;0.49;1.33;-0.49
338;-1.16;-9.99;-1.34;0.07;0.94;-0.08;-0.77;1.05;-0.35
347;-1.17;-9.89;-1.29;0.07;0.94;-0.08;-1.33;1.19;-0.14
356;-1.17;-9.87;-1.32;0.07;0.94;-0.08;-1.12;1.12;0.35
365;-1.20;-9.88;-1.26;0.07;0.94;-0.09;-0.21;1.19;0.42
374;-1.29;-9.74;-1.28;0.07;0.94;-0.09;0.35;1.47;0.98
382;-1.18;-9.80;-1.17;0.07;0.94;-0.09;0.56;0.77;0.84
391;-1.27;-9.74;-1.18;0.06;0.95;-0.09;0.84;0.84;0.70
400;-1.21;-9.73;-1.21;0.06;0.95;-0.09;1.40;0.91;0.28
408;-1.21;-9.60;-1.21;0.06;0.95;-0.09;1.33;0.98;-0.49
417;-1.21;-9.69;-1.22;0.06;0.95;-0.08;0.77;0.91;-1.68
