Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
32;-2.51;-9.81;0.61;-0.06;0.89;-0.24;-0.98;-6.86;-1.68
41;-2.55;-9.86;0.57;-0.06;0.89;-0.24;-2.31;-6.44;-1.75
50;-2.56;-9.96;0.62;-0.06;0.89;-0.24;-2.80;-5.67;-1.89
59;-2.51;-9.96;0.65;-0.07;0.90;-0.23;-2.59;-5.11;-1.68
67;-2.52;-10.04;0.49;-0.07;0.90;-0.23;-3.01;-4.90;-1.75
76;-2.51;-10.03;0.67;-0.07;0.90;-0.23;-2.66;-4.69;-1.33
85;-2.53;-10.01;0.64;-0.07;0.90;-0.25;-1.96;-4.76;-0.77
94;-2.63;-10.02;0.56;-0.07;0.90;-0.25;-0.35;-4.97;-0.56
103;-2.65;-10.02;0.56;-0.07;0.90;-0.25;0.63;-4.97;-0.63
111;-2.56;-10.06;0.55;-0.08;0.90;-0.24;1.12;-5.88;-0.21
120;-2.60;-10.03;0.60;-0.08;0.90;-0.24;0.28;-5.81;-0.14
129;-2.54;-9.99;0.62;-0.08;0.90;-0.24;-1.33;-5.04;0.07
138;-2.53;-10.02;0.64;-0.08;0.89;-0.24;-3.08;-4.69;0.35
146;-2.48;-9.91;0.63;-0.08;0.89;-0.24;-4.27;-4.27;0.91
155;-2.40;-9.86;0.62;-0.08;0.89;-0.24;-4.62;-3.57;0.84
164;-2.40;-9.73;0.85;-0.07;0.90;-0.25;-4.90;-1.75;0.77
173;-2.38;-9.71;0.74;-0.07;0.90;-0.25;-4.20;-0.49;0.84
182;-2.38;-9.68;0.83;-0.07;0.91;-0.24;-1.96;0.56;0.84
190;-2.28;-9.76;0.82;-0.07;0.91;-0.24;0.63;0.77;0.77
199;-2.31;-9.74;0.91;-0.07;0.91;-0.24;2.38;0.21;0.21
208;-2.25;-9.74;0.78;-0.07;0.91;-0.25;3.43;-0.42;0.28
217;-2.23;-9.75;0.66;-0.07;0.91;-0.25;2.73;-0.91;-0.07
226;-2.25;-9.73;0.68;-0.07;0.91;-0.25;2.03;-0.70;0.21
234;-2.24;-9.78;0.68;-0.08;0.90;-0.24;1.05;-17.92;0.07
243;-2.27;-9.71;0.71;-0.08;0.90;-0.24;0.00;0.28;-0.42
252;-2.29;-9.76;0.62;-0.08;0.90;-0.24;0.14;1.12;-0.14
261;-2.30;-9.85;0.60;-0.08;0.91;-0.25;0.77;1.68;0.14
269;-2.20;-9.88;0.69;-0.08;0.91;-0.25;1.26;2.10;0.35
278;-2.22;-9.82;0.65;-0.08;0.91;-0.25;1.75;2.03;0.28
287;-2.27;-9.86;0.67;-0.07;0.90;-0.24;2.38;1.47;0.49
296;-2.29;-9.88;0.60;-0.07;0.90;-0.24;2.38;1.47;0.56
304;-2.33;-10.01;0.65;-0.07;0.90;-0.24;1.96;1.33;0.56
313;-2.35;-9.87;0.60;-0.07;0.91;-0.23;1.54;0.84;-0.21
322;-2.30;-9.84;0.63;-0.07;0.91;-0.23;1.05;0.84;0.14
331;-2.30;-9.86;0.46;-0.07;0.91;-0.23;0.91;0.35;0.21
340;-2.20;-9.90;0.57;-0.07;0.91;-0.25;0.35;0.63;0.21
348;-2.15;-9.88;0.65;-0.07;0.91;-0.25;-0.21;0.84;0.00
357;-2.01;-9.94;0.70;-0.07;0.91;-0.25;0.07;1.54;0.14
366;-1.97;-10.09;0.73;-0.08;0.91;-0.25;0.91;1.96;0.21
375;-1.87;-10.11;0.58;-0.08;0.91;-0.25;2.31;1.75;0.35
384;-1.77;-10.14;0.58;-0.08;0.91;-0.25;4.13;0.63;0.14
392;-1.69;-10.26;0.57;-0.08;0.91;-0.24;4.27;-0.42;0.28
401;-1.59;-10.19;0.47;-0.08;0.91;-0.24;5.95;-1.54;1.05
410;-1.55;-10.10;0.50;-0.08;0.91;-0.24;5.88;-1.89;1.47
419;-1.44;-10.21;0.56;-0.08;0.90;-0.25;5.32;-1.68;0.63
428;-1.32;-10.34;0.65;-0.08;0.90;-0.25;3.22;-1.47;-0.42
436;-1.11;-10.49;0.72;-0.08;0.90;-0.25;0.42;-1.33;-2.03
445;-0.84;-10.53;0.52;-0.08;0.90;-0.24;-3.36;-0.35;-0.21
454;-0.56;-10.72;0.69;-0.08;0.90;-0.24;-4.48;-1.61;-0.07
463;-0.19;-10.88;0.75;-0.08;0.90;-0.24;-2.94;-3.08;-0.91
472;0.03;-10.85;0.85;-0.07;0.90;-0.25;1.75;-5.04;2.17
480;-0.08;-10.89;0.89;-0.07;0.90;-0.25;9.80;-8.05;2.38
489;0.08;-10.72;1.03;-0.07;0.90;-0.24;18.55;-10.36;2.94
498;0.03;-10.77;1.06;-0.07;0.90;-0.24;24.64;-10.92;1.89
507;0.04;-10.79;0.97;-0.07;0.90;-0.24;27.44;-11.41;1.19
516;-0.01;-10.84;1.01;-0.07;0.90;-0.24;26.53;-10.15;0.21
525;0.11;-10.65;1.08;-0.07;0.90;-0.24;23.17;-7.00;0.07
533;0.11;-10.69;1.14;-0.07;0.90;-0.24;13.23;-2.03;0.70
542;0.11;-10.65;1.37;-0.07;0.90;-0.23;1.68;4.20;-0.42
551;0.05;-10.83;1.40;-0.07;0.90;-0.23;-12.18;11.27;-1.26
560;0.04;-11.04;1.59;-0.07;0.90;-0.23;-28.42;17.78;-0.49
568;0.09;-11.19;2.31;-0.06;0.90;-0.23;-44.66;23.31;1.82
577;0.13;-11.46;3.12;-0.06;0.90;-0.23;-58.94;29.33;5.11
586;0.33;-11.37;3.81;-0.06;0.90;-0.23;-72.38;37.52;9.80
595;0.30;-10.87;4.36;-0.07;0.90;-0.24;-76.23;45.29;15.05
604;0.32;-10.29;4.80;-0.07;0.90;-0.24;-69.30;50.47;17.71
612;0.50;-9.86;5.02;-0.07;0.90;-0.24;-57.47;51.66;16.31
