Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
33;1.36;-9.55;1.85;0.19;0.73;-0.18;-4.59;-6.09;-1.12
42;1.35;-9.54;1.90;0.19;0.73;-0.18;-5.07;-5.51;-1.44
50;1.32;-9.61;1.96;0.19;0.73;-0.18;-5.09;-5.06;-1.68
59;1.32;-9.63;1.99;0.19;0.73;-0.20;-4.34;-4.30;-1.52
68;1.28;-9.59;1.97;0.19;0.73;-0.20;-3.55;-4.30;-1.68
77;1.27;-9.62;1.96;0.19;0.73;-0.20;-3.18;-4.91;-1.92
86;1.25;-9.59;2.02;0.19;0.73;-0.19;-3.42;-5.56;-2.00
94;1.25;-9.62;1.99;0.19;0.73;-0.19;-3.86;-6.02;-1.67
103;1.30;-9.62;2.03;0.19;0.73;-0.19;-4.72;-5.28;-1.86
112;1.31;-9.66;2.11;0.19;0.73;-0.18;-4.72;-4.11;-1.64
121;1.33;-9.66;2.06;0.19;0.73;-0.18;-4.24;-3.85;-1.51
130;1.31;-9.62;2.09;0.19;0.73;-0.18;-3.49;-3.75;-1.97
138;1.34;-9.67;2.13;0.20;0.73;-0.19;-3.22;-3.15;-2.14
147;1.33;-9.64;2.10;0.20;0.73;-0.19;-2.64;-2.45;-2.14
156;1.37;-9.58;1.99;0.19;0.74;-0.18;-1.91;-1.18;-2.26
165;1.34;-9.52;1.99;0.19;0.74;-0.18;-1.65;-0.20;-2.78
174;1.31;-9.58;1.95;0.19;0.74;-0.18;-1.38;0.60;-3.14
183;1.25;-9.57;1.96;0.20;0.74;-0.19;-0.52;1.63;-3.01
191;1.20;-9.59;2.05;0.20;0.74;-0.19;0.14;1.92;-3.14
200;1.23;-9.61;1.88;0.20;0.74;-0.19;0.83;1.15;-3.15
209;1.26;-9.64;1.84;0.20;0.73;-0.19;1.01;0.65;-3.23
218;1.23;-9.67;1.89;0.20;0.73;-0.19;0.60;0.72;-2.73
227;1.23;-9.80;1.86;0.20;0.73;-0.19;0.34;1.15;-2.34
236;1.24;-9.66;1.94;0.20;0.73;-0.19;-0.30;1.14;-2.16
244;1.28;-9.63;1.87;0.20;0.73;-0.19;-0.73;1.21;-2.09
253;1.31;-9.80;1.91;0.20;0.73;-0.19;-1.30;1.89;-1.86
262;1.37;-9.62;1.98;0.19;0.73;-0.18;-1.52;2.20;-1.77
271;1.43;-9.59;1.98;0.19;0.73;-0.18;-1.10;2.90;-1.87
280;1.48;-9.56;1.93;0.19;0.73;-0.18;-1.03;3.26;-2.16
289;1.50;-9.58;1.86;0.19;0.73;-0.19;-0.01;2.70;-2.38
297;1.53;-9.58;1.89;0.19;0.73;-0.19;1.44;1.34;-3.31
306;1.55;-9.53;1.90;0.19;0.73;-0.19;3.96;-0.89;-4.34
315;1.68;-9.53;1.86;0.19;0.74;-0.18;5.68;-3.23;-5.44
324;1.71;-9.50;1.79;0.19;0.74;-0.18;6.85;-5.14;-6.41
333;1.78;-9.37;1.75;0.19;0.74;-0.18;7.63;-5.74;-7.46
342;1.92;-9.41;1.75;0.19;0.73;-0.19;8.02;-6.00;-8.91
350;1.91;-9.35;1.62;0.19;0.73;-0.19;9.10;-6.46;-9.98
359;1.90;-9.35;1.60;0.19;0.73;-0.19;10.15;-7.17;-10.90
368;1.87;-9.34;1.63;0.18;0.74;-0.18;10.75;-8.31;-11.67
377;1.92;-9.38;1.57;0.18;0.74;-0.18;11.15;-9.80;-11.86
386;1.99;-9.36;1.65;0.18;0.74;-0.18;11.34;-10.85;-12.49
395;2.10;-9.41;1.65;0.19;0.74;-0.19;10.89;-12.42;-13.16
403;2.19;-9.40;1.69;0.19;0.74;-0.19;9.86;-13.36;-14.18
412;2.40;-9.46;1.80;0.18;0.74;-0.20;9.28;-13.34;-15.23
421;2.44;-9.52;1.91;0.18;0.74;-0.20;8.12;-12.68;-16.39
430;2.47;-9.58;1.89;0.18;0.74;-0.20;5.81;-11.11;-17.00
439;2.48;-9.62;2.02;0.17;0.75;-0.19;0.41;-7.04;-17.81
447;2.65;-9.68;1.96;0.17;0.75;-0.19;-2.41;-2.90;-17.64
456;2.65;-9.65;2.01;0.17;0.75;-0.19;-6.84;2.48;-17.20
465;2.71;-9.64;2.03;0.17;0.75;-0.19;-13.28;7.97;-17.13
474;2.66;-9.64;2.00;0.17;0.75;-0.19;-13.80;10.61;-17.92
483;2.72;-9.67;2.07;0.17;0.75;-0.19;-11.65;10.12;-19.29
491;2.64;-9.69;1.87;0.17;0.74;-0.20;-8.30;7.50;-22.05
500;2.69;-9.89;1.82;0.17;0.74;-0.20;-4.76;3.97;-24.13
509;2.49;-9.96;1.79;0.17;0.74;-0.20;-1.71;-0.44;-26.42
518;2.41;-10.08;1.72;0.17;0.74;-0.18;2.02;-3.58;-27.83
527;2.34;-10.02;1.66;0.17;0.74;-0.18;3.74;-4.59;-29.09
536;2.26;-9.97;1.68;0.17;0.74;-0.18;1.35;-2.99;-30.69
