Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
32;-0.74;-9.99;1.50;0.03;0.89;-0.24;-1.47;-4.41;1.05
41;-0.67;-9.91;1.54;0.03;0.89;-0.24;-0.98;-4.83;0.49
50;-0.73;-9.84;1.36;0.03;0.89;-0.24;-0.28;-4.90;-0.35
59;-0.63;-9.86;1.31;0.04;0.89;-0.24;-0.77;-4.83;-0.35
67;-0.70;-9.88;1.44;0.04;0.89;-0.24;-0.42;-4.69;-0.35
76;-0.69;-9.90;1.34;0.04;0.89;-0.24;-0.91;-4.55;-0.91
85;-0.75;-9.80;1.38;0.04;0.89;-0.24;-2.38;-4.55;-0.21
94;-0.74;-9.88;1.39;0.04;0.89;-0.24;-3.15;-4.20;-0.42
102;-0.75;-9.89;1.39;0.04;0.89;-0.24;-3.08;-3.78;-0.28
111;-0.63;-9.83;1.28;0.03;0.89;-0.22;-2.87;-3.01;-0.21
120;-0.73;-9.82;1.38;0.03;0.89;-0.22;-2.52;-2.31;-0.07
129;-0.67;-9.86;1.34;0.03;0.89;-0.22;-1.89;-1.54;-0.07
137;-0.70;-9.78;1.32;0.04;0.89;-0.23;-0.91;-0.91;-0.35
146;-0.77;-9.80;1.43;0.04;0.89;-0.23;-0.70;0.07;-0.70
155;-0.50;-9.81;1.26;0.04;0.89;-0.23;-1.12;0.70;-1.12
164;-0.71;-9.76;1.25;0.04;0.90;-0.23;-0.77;0.49;-1.12
172;-0.67;-9.81;1.15;0.04;0.90;-0.23;-0.91;-0.35;-1.54
181;-0.68;-9.80;1.26;0.04;0.90;-0.23;-0.42;-1.75;-2.03
190;-0.71;-9.87;1.38;0.04;0.90;-0.23;0.42;-2.66;-2.24
199;-0.78;-9.73;1.26;0.04;0.90;-0.23;0.35;-1.89;-2.52
207;-0.69;-9.83;1.36;0.04;0.90;-0.23;-0.35;-1.54;-2.03
216;-0.63;-9.96;1.51;0.04;0.90;-0.23;-0.63;-0.91;-1.68
225;-0.73;-9.86;1.46;0.04;0.90;-0.23;-0.28;0.70;-0.49
234;-0.67;-9.81;1.41;0.04;0.89;-0.22;0.49;1.61;0.14
242;-0.56;-9.86;1.39;0.04;0.89;-0.22;0.63;2.24;-0.21
251;-0.62;-9.81;1.23;0.04;0.89;-0.22;0.28;2.17;-0.77
260;-0.72;-9.85;1.45;0.03;0.89;-0.23;0.14;2.17;-0.56
269;-0.75;-9.81;1.34;0.03;0.89;-0.23;0.49;1.82;-0.63
277;-0.72;-9.88;1.50;0.03;0.89;-0.23;1.19;1.54;-1.26
286;-0.75;-9.88;1.45;0.03;0.89;-0.23;2.03;1.33;-1.26
295;-0.73;-9.88;1.28;0.03;0.89;-0.23;2.10;0.42;-1.68
304;-0.78;-9.83;1.26;0.03;0.89;-0.23;1.40;-0.21;-1.54
313;-0.76;-9.96;1.33;0.03;0.89;-0.22;1.19;-0.35;-1.19
321;-0.73;-9.93;1.49;0.03;0.89;-0.22;0.77;1.12;-1.26
330;-0.64;-9.87;1.48;0.03;0.89;-0.22;0.21;0.77;-1.33
339;-0.57;-9.86;1.55;0.03;0.89;-0.23;-0.28;1.05;-1.33
348;-0.46;-9.91;1.36;0.03;0.89;-0.23;0.07;1.33;-1.19
356;-0.57;-9.71;1.38;0.03;0.89;-0.23;0.00;1.89;-1.05
365;-0.50;-9.78;1.36;0.03;0.89;-0.23;1.19;2.31;-1.54
374;-0.47;-9.73;1.34;0.03;0.89;-0.23;1.54;1.82;-1.68
383;-0.36;-9.67;1.25;0.03;0.89;-0.23;2.17;1.54;-2.94
391;-0.19;-9.67;1.28;0.02;0.89;-0.24;2.94;0.77;-3.50
400;-0.19;-9.65;1.31;0.02;0.89;-0.24;3.57;0.77;-4.90
409;-0.19;-9.75;1.25;0.02;0.89;-0.24;3.43;1.05;-5.67
418;-0.36;-9.61;1.22;0.03;0.89;-0.22;3.15;0.98;-7.49
426;-0.47;-9.74;1.23;0.03;0.89;-0.22;3.36;0.35;-9.10
435;-0.32;-9.96;1.17;0.03;0.89;-0.22;3.99;0.07;-9.45
444;-0.39;-9.91;1.26;0.03;0.90;-0.24;3.50;0.28;-9.59
