Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
32;0.99;-9.72;1.90;0.12;0.81;-0.28;-4.47;-6.09;-1.44
41;1.06;-9.74;1.87;0.12;0.81;-0.28;-5.36;-5.99;-2.07
50;1.03;-9.75;1.97;0.12;0.81;-0.28;-4.77;-5.77;-1.88
59;1.02;-9.74;1.96;0.12;0.80;-0.28;-4.42;-5.20;-1.65
67;1.00;-9.73;2.00;0.12;0.80;-0.28;-3.76;-4.64;-1.81
76;1.03;-9.74;1.93;0.12;0.80;-0.28;-3.67;-4.02;-2.00
85;0.98;-9.73;1.86;0.11;0.80;-0.28;-3.67;-3.64;-2.17
94;0.95;-9.72;1.70;0.11;0.80;-0.28;-3.95;-3.56;-2.42
102;0.91;-9.72;1.75;0.11;0.80;-0.28;-3.43;-3.56;-2.69
111;0.93;-9.73;1.67;0.11;0.80;-0.28;-2.84;-3.74;-2.86
120;0.96;-9.75;1.70;0.11;0.80;-0.28;-4.42;-4.21;-2.79
129;0.92;-9.76;1.72;0.11;0.80;-0.28;-2.05;-4.25;-2.96
137;0.94;-9.78;1.66;0.11;0.81;-0.26;-1.89;-4.24;-3.08
146;0.96;-9.75;1.74;0.11;0.81;-0.26;-2.41;-3.17;-3.00
155;0.91;-9.80;1.81;0.11;0.81;-0.26;-2.94;-1.45;-2.92
164;0.96;-9.80;1.96;0.11;0.80;-0.28;-3.32;-0.26;-2.28
172;0.98;-9.75;1.80;0.11;0.80;-0.28;-3.55;0.14;-2.41
181;1.02;-9.74;1.94;0.07;0.81;-0.28;-3.57;0.44;-2.29
190;0.94;-9.72;1.87;0.11;0.81;-0.28;-3.38;0.17;-2.44
199;1.01;-9.72;1.85;0.11;0.81;-0.28;-2.33;0.11;-2.64
207;1.05;-9.73;1.88;0.11;0.81;-0.28;-0.98;0.41;-2.43
216;1.17;-9.68;1.86;0.11;0.81;-0.28;-0.21;0.16;-2.58
225;1.18;-9.69;1.84;0.11;0.81;-0.28;0.27;0.81;-2.85
233;1.39;-9.69;1.82;0.11;0.80;-0.28;0.94;1.29;-2.85
242;1.52;-9.75;1.81;0.11;0.80;-0.28;0.97;1.86;-3.37
251;1.59;-9.84;1.70;0.11;0.80;-0.28;0.90;1.91;-3.63
260;1.63;-9.85;1.71;0.11;0.81;-0.28;1.81;1.76;-3.74
268;1.69;-9.94;1.77;0.11;0.81;-0.28;2.27;1.39;-4.07
277;1.82;-9.97;1.68;0.11;0.81;-0.28;0.51;0.46;-3.98
286;1.96;-9.91;1.71;0.11;0.80;-0.28;-0.31;-0.24;-4.16
295;2.29;-9.83;1.81;0.11;0.80;-0.28;2.42;-1.43;-4.90
303;2.26;-9.84;1.82;0.11;0.80;-0.28;7.00;-3.08;-5.97
312;2.30;-9.89;1.74;0.11;0.81;-0.27;12.30;-4.92;-6.95
321;2.42;-9.96;1.87;0.11;0.81;-0.27;16.68;-6.85;-8.11
