Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
2479.0;-7.82;5.27;1.64;-0.37;-0.04;-0.28;0.98;-0.35;0.98
2490.0;-7.9;5.31;1.6;-0.37;-0.04;-0.28;0.0;-0.49;0.0
2499.0;-7.83;5.23;1.59;-0.37;-0.05;-0.29;0.56;0.7;0.56
2508.0;-7.86;5.3;1.61;-0.36;-0.05;-0.29;0.49;0.98;0.49
2517.0;-7.78;5.25;1.54;-0.36;-0.05;-0.29;1.47;1.05;1.47
2526.0;-7.77;5.3;1.62;-0.37;-0.04;-0.27;2.03;0.98;2.03
2535.0;-7.88;5.27;1.58;-0.37;-0.04;-0.27;1.47;1.33;1.47
2544.0;-7.85;5.28;1.6;-0.37;-0.04;-0.27;1.26;2.52;1.26
2553.0;-7.72;5.25;1.61;-0.36;-0.05;-0.28;0.77;1.75;0.77
2564.0;-7.77;5.28;1.57;-0.36;-0.05;-0.28;2.45;2.1;2.45
2573.0;-7.84;5.24;1.54;-0.36;-0.05;-0.28;2.1;0.0;2.1
2582.0;-7.77;5.23;1.56;-0.36;-0.06;-0.3;0.56;1.19;0.56
2591.0;-7.89;5.28;1.64;-0.36;-0.06;-0.3;-0.21;1.12;-0.21
2600.0;-7.82;5.33;1.6;-0.36;-0.06;-0.28;0.7;1.33;0.7
2609.0;-7.77;5.29;1.61;-0.36;-0.06;-0.28;2.03;1.05;2.03
2618.0;-7.85;5.2;1.6;-0.36;-0.06;-0.28;2.24;0.14;2.24
2627.0;-7.82;5.15;1.62;-0.38;-0.05;-0.28;1.19;1.4;1.19
2636.0;-7.87;5.24;1.49;-0.38;-0.05;-0.28;-0.7;0.35;-0.7
2645.0;-7.87;5.25;1.49;-0.38;-0.05;-0.28;-0.21;1.19;-0.21
2654.0;-7.82;5.32;1.63;-0.36;-0.04;-0.27;0.84;0.21;0.84
2664.0;-7.9;5.23;1.71;-0.36;-0.04;-0.27;1.89;0.84;1.89
2673.0;-7.85;5.26;1.66;-0.36;-0.04;-0.27;1.05;1.68;1.05
2682.0;-7.79;5.21;1.49;-0.38;-0.05;-0.29;0.91;1.82;0.91
2691.0;-7.8;5.28;1.56;-0.38;-0.05;-0.29;1.12;1.54;1.12
2700.0;-7.79;5.34;1.68;-0.38;-0.05;-0.29;2.24;1.26;2.24
2709.0;-7.77;5.29;1.57;-0.37;-0.05;-0.28;2.1;0.98;2.1
2718.0;-7.85;5.21;1.59;-0.37;-0.05;-0.28;1.19;0.98;1.19
2727.0;-7.83;5.15;1.6;-0.37;-0.05;-0.28;0.28;0.91;0.28
2736.0;-7.94;5.2;1.51;-0.37;-0.05;-0.28;0.21;1.26;0.21
2745.0;-7.87;5.28;1.56;-0.37;-0.05;-0.28;1.54;1.47;1.54
2754.0;-7.77;5.28;1.59;-0.37;-0.04;-0.28;2.24;1.12;2.24
2764.0;-7.95;5.22;1.59;-0.37;-0.04;-0.28;1.89;1.19;1.89
2774.0;-7.78;5.2;1.56;-0.37;-0.04;-0.28;0.7;0.91;0.7
2782.0;-7.86;5.29;1.67;-0.38;-0.05;-0.28;-0.42;1.47;-0.42
2809.0;-7.82;5.33;1.62;-0.37;-0.05;-0.29;1.4;-0.49;1.4
2818.0;-7.88;5.23;1.6;-0.37;-0.05;-0.29;0.49;0.7;0.49
2827.0;-7.85;5.24;1.62;-0.37;-0.05;-0.28;0.0;0.63;0.0
2836.0;-7.9;5.31;1.56;-0.37;-0.05;-0.28;0.63;1.54;0.63
2845.0;-7.8;5.33;1.56;-0.37;-0.05;-0.28;2.52;1.47;2.52
2854.0;-7.86;5.25;1.56;-0.37;-0.04;-0.28;2.45;2.17;2.45
2864.0;-7.88;5.16;1.63;-0.37;-0.04;-0.28;2.1;2.87;2.1
2874.0;-7.77;5.24;1.61;-0.37;-0.04;-0.28;1.19;1.68;1.19
