Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
31;-2.93;1.18;9.22;-0.19;0.40;-0.45;0.07;1.54;0.07
40;-2.99;1.21;9.11;-0.19;0.40;-0.45;1.19;2.38;1.19
48;-2.95;1.19;9.22;-0.19;0.40;-0.45;1.26;2.03;1.26
57;-2.99;1.21;9.16;-0.20;0.39;-0.45;1.26;1.82;1.26
66;-3.04;1.15;9.14;-0.20;0.39;-0.45;1.19;1.61;1.19
75;-3.07;1.23;9.17;-0.20;0.39;-0.45;1.54;1.54;1.54
83;-3.12;1.22;9.30;-0.19;0.39;-0.46;2.03;0.42;2.03
92;-2.94;1.23;9.25;-0.19;0.39;-0.46;1.54;0.14;1.54
101;-2.99;1.27;9.15;-0.19;0.39;-0.46;0.91;1.40;0.91
109;-2.96;1.24;9.21;-0.19;0.39;-0.45;0.84;1.82;0.84
118;-2.96;1.14;9.12;-0.19;0.39;-0.45;0.84;1.40;0.84
127;-3.02;1.18;9.08;-0.18;0.39;-0.46;1.12;0.84;1.12
136;-2.95;1.23;9.07;-0.18;0.39;-0.46;1.33;0.07;1.33
144;-2.94;1.28;9.10;-0.18;0.39;-0.46;1.40;-0.56;1.40
153;-2.89;1.29;9.16;-0.19;0.38;-0.44;0.77;-0.49;0.77
162;-3.01;1.23;9.20;-0.19;0.38;-0.44;0.21;0.00;0.21
171;-3.05;1.18;9.17;-0.19;0.38;-0.44;0.28;0.35;0.28
179;-3.05;1.26;9.20;-0.19;0.40;-0.46;0.70;-17.64;0.70
188;-3.03;1.26;9.14;-0.19;0.40;-0.46;1.47;-0.21;1.47
293;-2.84;1.40;9.29;-0.18;0.39;-0.49;4.83;1.26;4.83
302;-2.94;1.49;9.43;-0.18;0.39;-0.49;5.67;2.59;5.67
311;-3.07;1.62;9.36;-0.17;0.39;-0.46;6.86;2.45;6.86
328;-3.22;1.75;9.40;-0.17;0.39;-0.46;7.91;0.56;7.91
337;-3.07;1.47;9.55;-0.18;0.38;-0.46;8.89;-0.63;8.89
346;-3.08;1.59;9.58;-0.18;0.38;-0.46;10.92;-0.42;10.92
354;-3.09;1.54;9.60;-0.18;0.38;-0.46;12.67;-0.49;12.67
363;-2.94;1.51;9.57;-0.17;0.38;-0.47;13.72;-17.92;13.72
372;-2.74;1.39;9.54;-0.17;0.38;-0.47;14.91;0.84;14.91
381;-2.73;1.41;9.45;-0.17;0.38;-0.47;14.07;2.31;14.07
389;-2.70;1.39;9.23;-0.17;0.39;-0.45;12.60;3.71;12.60
398;-2.56;1.31;9.30;-0.17;0.39;-0.45;11.34;4.20;11.34
407;-2.46;1.21;9.30;-0.17;0.39;-0.45;9.73;4.83;9.73
415;-2.59;1.16;9.34;-0.16;0.38;-0.46;7.28;4.48;7.28
424;-2.58;0.97;9.30;-0.16;0.38;-0.46;7.28;4.83;7.28
433;-2.55;0.97;9.26;-0.16;0.38;-0.46;7.77;4.76;7.77
442;-2.51;0.89;9.41;-0.16;0.37;-0.46;8.75;3.85;8.75
450;-2.58;0.88;9.43;-0.16;0.37;-0.46;10.08;3.08;10.08
459;-2.48;0.86;9.42;-0.16;0.37;-0.46;9.38;2.03;9.38
468;-2.51;0.75;9.58;-0.15;0.38;-0.45;8.12;3.36;8.12
477;-2.53;0.75;9.63;-0.15;0.38;-0.45;7.35;3.78;7.35
485;-2.56;0.93;9.56;-0.15;0.36;-0.46;5.88;5.39;5.88
494;-2.44;0.68;9.59;-0.15;0.36;-0.46;5.32;6.16;5.32
503;-2.46;0.71;9.72;-0.15;0.36;-0.46;4.90;6.37;4.90
512;-2.37;0.70;9.67;-0.15;0.37;-0.45;5.46;6.16;5.46
520;-2.35;0.66;9.56;-0.15;0.37;-0.45;5.53;4.83;5.53
529;-2.31;0.73;9.68;-0.15;0.37;-0.45;4.90;3.64;4.90
