Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
33;-2.53;0.45;9.11;0.02;0.24;-0.45;-4.81;-5.49;1.80
42;-2.55;0.45;9.08;0.02;0.24;-0.45;-4.77;-4.41;1.94
51;-2.51;0.45;9.12;0.02;0.24;-0.45;-4.23;-3.88;2.30
60;-2.51;0.44;8.97;0.02;0.24;-0.43;-3.25;-4.21;2.86
68;-2.55;0.51;8.99;0.02;0.24;-0.43;-2.13;-4.64;2.82
77;-2.51;0.56;8.86;0.02;0.24;-0.43;-2.07;-4.96;2.97
86;-2.55;0.50;8.85;0.02;0.25;-0.44;-2.27;-5.20;2.90
95;-2.54;0.54;8.85;0.02;0.25;-0.44;-2.84;-4.93;2.52
104;-2.60;0.53;8.98;0.02;0.25;-0.44;-3.30;-4.20;2.47
112;-2.66;0.55;8.95;0.03;0.24;-0.44;-3.88;-4.02;2.34
121;-2.64;0.58;9.01;0.03;0.24;-0.44;-4.00;-3.75;2.00
130;-2.62;0.62;8.95;0.03;0.24;-0.44;-3.90;-3.56;1.98
139;-2.68;0.59;9.13;0.02;0.24;-0.44;-4.05;-3.56;2.13
148;-2.62;0.62;9.09;0.02;0.24;-0.44;-3.79;-3.32;2.47
156;-2.68;0.65;9.16;0.02;0.25;-0.44;-3.13;-2.45;2.23
165;-2.63;0.68;9.08;0.02;0.25;-0.44;-2.35;-2.20;2.16
174;-2.63;0.68;9.06;0.02;0.25;-0.44;-1.93;-1.90;2.22
183;-2.58;0.73;9.06;0.02;0.24;-0.44;-1.86;-1.72;2.21
191;-2.50;0.77;9.22;0.02;0.24;-0.44;-1.46;-0.88;2.00
200;-2.60;0.78;9.18;0.02;0.24;-0.44;-0.94;-0.57;1.50
209;-2.61;0.77;9.15;0.02;0.25;-0.43;-0.34;-0.07;1.37
218;-2.64;0.78;9.18;0.02;0.25;-0.43;0.34;0.37;1.30
227;-2.68;0.78;9.04;0.02;0.25;-0.43;1.26;0.30;1.49
235;-2.67;0.78;9.20;0.02;0.25;-0.44;1.78;0.00;1.24
244;-2.68;0.78;9.18;0.02;0.25;-0.44;1.88;-0.58;0.90
253;-2.67;0.69;9.20;0.02;0.25;-0.44;1.62;-0.91;0.85
262;-2.73;0.68;9.24;0.02;0.25;-0.46;2.00;-1.47;0.73
270;-2.70;0.66;9.25;0.02;0.25;-0.46;2.83;-2.55;0.86
279;-2.70;0.59;9.33;0.02;0.25;-0.46;4.51;-3.46;0.88
288;-2.56;0.50;9.36;0.01;0.25;-0.45;5.22;-4.17;1.29
297;-2.50;0.46;9.30;0.01;0.25;-0.45;5.84;-4.30;1.51
305;-2.41;0.35;9.35;0.01;0.25;-0.45;6.18;-4.59;1.54
314;-2.41;0.21;9.45;0.01;0.24;-0.45;5.38;-4.61;1.18
323;-2.32;0.13;9.42;0.01;0.24;-0.45;4.62;-4.42;1.36
332;-2.32;0.10;9.57;0.01;0.24;-0.45;3.36;-3.95;2.07
341;-2.34;0.03;9.61;0.01;0.25;-0.44;2.32;-2.84;2.45
350;-2.37;0.06;9.60;0.01;0.25;-0.44;1.35;-1.61;2.99
358;-2.39;0.07;9.57;0.01;0.25;-0.44;0.19;-2.28;3.83
367;-2.36;0.14;9.58;0.00;0.25;-0.45;0.27;-2.62;4.64
376;-2.35;0.23;9.53;0.00;0.25;-0.45;0.39;-5.88;5.33
385;-2.18;0.25;9.58;0.00;0.25;-0.45;1.12;-8.13;5.95
393;-1.97;0.35;9.73;0.01;0.25;-0.45;2.16;-9.71;6.81
402;-1.81;0.39;9.84;0.01;0.25;-0.45;2.43;-11.35;6.30
411;-1.65;0.38;10.00;0.01;0.25;-0.45;1.84;-12.99;6.21
420;-1.60;0.46;10.14;0.01;0.25;-0.46;-0.09;-12.36;5.80
429;-1.59;0.46;10.18;0.01;0.25;-0.46;-2.97;-11.10;4.11
437;-1.66;0.47;10.31;0.01;0.25;-0.46;-7.27;-8.74;2.13
446;-1.78;0.47;10.30;0.01;0.24;-0.45;-11.73;-7.40;1.50
455;-1.80;0.48;10.30;0.01;0.24;-0.45;-15.07;-8.05;0.85
464;-1.84;0.46;10.42;0.01;0.24;-0.45;-16.00;-9.49;1.60
473;-1.80;0.45;10.61;0.01;0.24;-0.45;-15.27;-11.33;2.34
481;-1.68;0.42;10.87;0.01;0.24;-0.45;-12.59;-13.29;2.16
490;-1.68;0.40;10.80;0.01;0.23;-0.44;-9.36;-14.67;1.83
499;-1.45;0.24;10.70;0.01;0.23;-0.44;-4.51;-13.69;3.90
508;-1.38;0.03;10.59;0.01;0.23;-0.44;0.28;-13.15;5.85
517;-1.36;0.06;10.50;0.00;0.24;-0.45;3.43;-12.88;8.74
525;-1.21;0.15;10.49;0.00;0.24;-0.45;7.28;-12.93;11.06
534;-1.21;0.25;10.36;0.00;0.24;-0.45;9.63;-13.50;11.97
543;-1.05;0.60;10.26;0.00;0.23;-0.44;9.04;-14.05;10.24
552;-0.84;0.71;10.02;0.00;0.23;-0.44;6.43;-13.05;6.15
561;-0.76;0.78;9.92;0.00;0.23;-0.44;-1.43;-8.90;1.99
570;-0.86;0.76;9.75;-0.00;0.24;-0.44;-9.79;-3.46;-3.79
578;-1.00;0.68;9.54;-0.00;0.24;-0.44;-19.47;-0.56;-12.97
587;-0.92;0.66;9.57;-0.00;0.24;-0.44;-27.68;1.63;-15.67
596;-0.91;0.87;9.87;-0.00;0.24;-0.45;-34.40;4.16;-18.37
605;-0.45;1.12;10.23;-0.00;0.24;-0.45;-39.84;5.97;-21.40
613;0.69;1.68;10.35;-0.00;0.24;-0.45;-41.20;5.32;-20.66
622;2.07;2.30;10.56;0.00;0.23;-0.45;-33.64;3.79;-17.70
631;3.81;3.10;10.49;0.00;0.23;-0.45;-20.82;-0.68;-13.22
640;6.68;4.88;10.07;0.00;0.23;-0.45;-5.28;-7.32;-0.73
649;9.68;6.94;9.12;-0.00;0.22;-0.44;8.06;-6.84;7.57
657;12.10;9.73;7.45;-0.00;0.22;-0.44;10.30;-4.23;15.26
666;13.20;12.82;4.87;-0.00;0.22;-0.44;13.82;0.30;16.83
675;11.69;16.49;1.94;-0.01;0.23;-0.44;31.03;-0.85;-4.75
684;7.66;19.31;-1.67;-0.01;0.23;-0.44;61.28;-29.20;-68.16
693;3.50;19.60;-6.63;-0.01;0.23;-0.44;74.95;-94.98;-167.49
702;-3.70;18.15;-9.56;0.02;0.22;-0.43;63.18;-174.54;-258.40
710;-12.44;13.41;-9.55;0.02;0.22;-0.43;22.71;-253.01;-286.72
719;-19.60;6.70;-7.36;0.02;0.22;-0.43;-15.92;-286.72;-286.72
728;-19.60;-0.01;-4.06;-0.02;0.23;-0.45;-37.08;-286.72;-286.72
737;-19.60;-5.70;0.84;-0.02;0.23;-0.45;-40.19;-286.72;-286.72
746;-19.60;-12.41;9.29;-0.06;0.23;-0.44;-75.30;-286.72;-286.72
755;-19.60;-19.60;19.60;-0.06;0.23;-0.44;-174.61;-286.72;-286.72
763;-19.60;-19.60;19.60;-0.06;0.23;-0.44;-286.72;-133.18;-253.91
772;-19.60;-19.60;19.60;-0.11;0.19;-0.40;-286.72;54.87;-49.38
781;-16.61;-19.60;19.60;-0.11;0.19;-0.40;28.86;232.13;284.41
790;-19.60;3.26;4.99;-0.11;0.19;-0.40;286.68;241.65;286.68
799;-13.89;19.60;-6.95;-0.06;0.20;-0.42;286.68;176.58;286.68
808;-3.92;19.60;-9.96;-0.06;0.20;-0.42;219.83;94.08;233.81
816;-0.18;19.60;-8.82;-0.06;0.20;-0.42;-45.43;12.51;57.44
825;0.94;19.60;-4.81;-0.07;0.22;-0.45;-157.44;-35.52;-63.40
834;-2.25;17.02;0.52;-0.07;0.22;-0.45;-117.04;-53.27;-85.77
843;-6.32;8.17;4.72;-0.07;0.22;-0.45;-48.89;-73.74;-83.23
851;-8.67;2.43;8.52;-0.08;0.21;-0.42;-16.01;-64.04;-63.15
860;-8.84;-2.12;10.51;-0.08;0.21;-0.42;-20.03;-32.58;-42.49
869;-7.76;-4.19;8.87;-0.08;0.21;-0.42;-17.35;1.03;-13.09
878;-7.18;-2.32;6.42;-0.09;0.21;-0.43;10.73;22.78;24.32
887;-6.29;1.31;4.68;-0.09;0.21;-0.43;36.81;22.73;49.25
896;-5.77;5.10;4.64;-0.09;0.21;-0.43;43.76;12.25;47.69
905;-5.43;6.88;5.43;-0.09;0.21;-0.42;27.50;-1.08;29.28
913;-5.33;6.61;6.61;-0.09;0.21;-0.42;6.33;-9.42;3.89
922;-5.37;4.62;7.62;-0.09;0.21;-0.42;2.54;-13.77;-11.44
931;-5.68;2.29;8.64;-0.09;0.21;-0.43;10.12;-16.88;-14.14
940;-5.69;0.83;9.18;-0.09;0.21;-0.43;17.45;-11.69;-7.15
949;-5.40;-0.03;9.20;-0.09;0.21;-0.43;14.81;-4.56;-3.05
957;-5.38;0.06;8.68;-0.09;0.22;-0.44;5.57;-0.28;-2.14
966;-5.06;0.30;8.49;-0.09;0.22;-0.44;-3.26;1.26;-2.94
975;-4.77;0.95;8.50;-0.09;0.22;-0.44;-8.59;0.91;-1.85
984;-4.68;1.42;8.31;-0.09;0.22;-0.44;-5.14;-0.51;-1.07
993;-4.63;1.86;8.06;-0.09;0.22;-0.44;-0.93;-4.64;-0.52
1002;-4.45;2.14;8.05;-0.08;0.22;-0.43;3.52;-8.71;-1.19
1010;-4.75;1.68;8.55;-0.08;0.22;-0.43;1.32;-13.27;-6.62
1019;-5.30;1.30;9.57;-0.08;0.22;-0.43;-4.37;-15.15;-5.78
1028;-5.71;1.15;10.29;-0.09;0.22;-0.43;-9.55;-10.48;-6.96
1037;-6.07;1.04;10.38;-0.09;0.22;-0.43;-10.40;-3.67;-7.79
1046;-6.24;0.86;9.84;-0.09;0.22;-0.43;-7.54;2.21;-5.24
1055;-6.19;0.76;9.27;-0.09;0.21;-0.43;-1.99;5.32;-1.70
1063;-6.16;0.62;8.69;-0.09;0.21;-0.43;1.52;6.83;0.36
1072;-6.05;0.54;8.19;-0.09;0.21;-0.43;2.73;6.65;1.58
1081;-6.02;0.37;7.96;-0.08;0.21;-0.44;1.56;6.77;1.87
1090;-6.24;0.32;7.87;-0.08;0.21;-0.44;-1.51;6.90;1.05
1099;-6.30;0.24;8.00;-0.08;0.21;-0.44;-7.87;7.21;-1.42
1107;-6.35;0.22;8.09;-0.09;0.22;-0.44;-12.64;9.16;-1.84
1116;-6.22;0.34;7.66;-0.09;0.22;-0.44;-8.48;11.44;1.72
1125;-5.91;0.50;7.30;-0.09;0.22;-0.44;-1.76;10.78;8.20
1134;-5.72;0.82;7.13;-0.09;0.22;-0.43;4.00;9.47;12.18
1143;-5.55;1.17;6.74;-0.09;0.22;-0.43;9.83;7.98;14.08
1151;-5.49;1.09;6.59;-0.09;0.22;-0.43;11.19;4.88;13.71
1160;-5.46;1.02;6.57;-0.09;0.22;-0.44;6.96;1.51;11.38
1169;-5.71;1.03;6.68;-0.09;0.22;-0.44;0.93;-2.77;8.62
1178;-5.72;1.03;7.17;-0.09;0.22;-0.44;-4.25;-5.67;5.43
1187;-5.81;1.18;7.62;-0.09;0.23;-0.44;-6.98;-2.30;4.69
1196;-5.93;1.44;7.69;-0.09;0.23;-0.44;-3.89;-1.78;6.55
1205;-5.95;1.72;7.89;-0.09;0.23;-0.44;3.07;0.94;9.81
1213;-5.90;1.81;8.02;-0.09;0.22;-0.42;10.04;4.50;14.09
1222;-5.85;1.84;8.06;-0.09;0.22;-0.42;19.01;7.25;17.09
1231;-5.66;1.88;7.75;-0.09;0.22;-0.42;24.62;9.14;18.08
1240;-5.62;1.69;7.51;-0.09;0.23;-0.44;22.46;7.89;15.79
1249;-5.64;1.59;7.31;-0.09;0.23;-0.44;11.48;4.76;13.19
1258;-5.54;1.88;7.32;-0.09;0.24;-0.44;5.42;2.38;10.74
1266;-5.75;1.92;7.53;-0.09;0.24;-0.44;3.04;-1.27;7.82
1275;-5.72;1.85;7.80;-0.09;0.24;-0.44;1.35;-3.11;7.12
1284;-5.69;1.81;8.19;-0.10;0.23;-0.44;-0.04;-2.29;6.55
1293;-5.96;1.50;8.25;-0.10;0.23;-0.44;0.52;-0.38;6.88
1301;-6.00;1.35;8.58;-0.10;0.23;-0.44;3.57;1.54;9.53
1310;-6.02;1.46;8.77;-0.10;0.25;-0.43;10.17;4.39;14.26
1319;-6.09;1.47;8.53;-0.10;0.25;-0.43;18.60;6.52;16.94
1328;-6.19;1.17;8.27;-0.10;0.25;-0.43;22.30;6.59;18.16
1336;-6.19;0.96;8.11;-0.09;0.24;-0.44;23.75;8.93;19.33
1345;-6.16;0.85;7.79;-0.09;0.24;-0.44;21.80;8.44;18.27
1354;-6.33;0.60;7.54;-0.09;0.24;-0.44;9.51;10.17;14.60
1363;-6.50;0.25;7.32;-0.09;0.25;-0.45;-4.04;9.86;10.07
1372;-6.60;-0.08;7.57;-0.09;0.25;-0.45;-16.84;9.22;7.74
1381;-6.42;-0.26;7.96;-0.09;0.25;-0.45;-20.08;9.75;9.54
1389;-6.29;0.20;8.21;-0.09;0.24;-0.43;-15.96;11.70;16.53
1398;-6.43;0.77;8.21;-0.09;0.24;-0.43;-4.43;13.58;22.44
1407;-6.62;1.03;8.20;-0.09;0.24;-0.43;7.73;13.99;26.22
1416;-6.74;1.16;8.25;-0.10;0.25;-0.44;17.73;14.33;31.35
1425;-7.00;1.03;8.11;-0.10;0.25;-0.44;28.36;14.97;30.31
1433;-6.83;0.76;7.99;-0.10;0.25;-0.44;40.30;16.18;30.68
1442;-6.37;0.61;7.80;-0.10;0.26;-0.45;47.47;17.87;28.19
1451;-6.33;-0.07;7.40;-0.10;0.26;-0.45;46.72;19.81;24.12
1460;-6.36;-0.52;6.60;-0.10;0.26;-0.45;28.74;18.17;28.90
1469;-6.05;-0.37;6.50;-0.10;0.27;-0.45;11.22;17.26;29.84
1477;-6.11;-0.17;6.46;-0.10;0.27;-0.45;-4.94;14.32;21.39
1486;-5.95;-0.42;6.55;-0.10;0.27;-0.45;-21.19;13.84;14.76
1495;-6.05;-0.31;6.85;-0.10;0.27;-0.44;-36.83;13.88;11.60
1504;-6.08;-0.09;7.30;-0.10;0.27;-0.44;-43.96;14.84;9.20
1513;-6.26;0.06;7.86;-0.10;0.27;-0.44;-43.99;17.39;10.68
1521;-6.39;0.40;8.47;-0.09;0.26;-0.43;-34.17;19.48;12.75
1530;-6.63;0.60;8.91;-0.09;0.26;-0.43;-18.92;20.48;12.72
1539;-6.67;0.72;8.81;-0.09;0.26;-0.44;-1.09;20.76;13.10
1548;-6.43;0.59;8.43;-0.09;0.26;-0.44;15.65;21.68;15.64
1557;-6.34;0.59;7.90;-0.09;0.26;-0.44;27.39;22.77;21.82
1565;-6.18;0.31;7.41;-0.09;0.26;-0.46;35.61;20.36;29.41
1574;-5.42;0.14;7.02;-0.09;0.26;-0.46;35.38;17.02;40.01
1583;-5.07;0.28;6.72;-0.09;0.26;-0.46;26.08;14.91;47.06
1592;-4.88;0.79;6.65;-0.09;0.27;-0.46;15.99;11.96;46.00
1601;-4.79;1.15;6.79;-0.09;0.27;-0.46;5.01;9.67;37.28
1610;-5.02;1.19;6.98;-0.09;0.27;-0.46;-9.42;9.84;25.51
1618;-5.25;1.17;7.35;-0.09;0.28;-0.45;-22.82;10.49;16.14
1627;-5.37;1.19;7.67;-0.09;0.28;-0.45;-30.04;12.70;8.08
1636;-5.31;1.03;7.95;-0.09;0.28;-0.45;-30.14;17.77;3.52
1645;-5.32;0.84;8.06;-0.08;0.27;-0.45;-26.68;22.01;0.54
1654;-5.08;0.63;7.87;-0.08;0.27;-0.45;-19.77;24.55;-1.00
1662;-5.19;0.41;7.55;-0.08;0.27;-0.45;-13.50;24.22;3.32
1671;-4.83;0.33;7.14;-0.08;0.27;-0.44;-8.30;21.86;13.30
1680;-4.67;0.74;6.88;-0.08;0.27;-0.44;-4.27;17.73;21.64
1689;-4.60;0.92;6.88;-0.08;0.27;-0.44;-0.56;9.19;23.26
1698;-4.47;1.22;7.22;-0.08;0.27;-0.45;0.51;3.57;19.15
1706;-4.53;1.29;7.88;-0.08;0.27;-0.45;-5.97;2.73;12.20
1715;-4.67;1.23;8.42;-0.08;0.27;-0.45;-13.40;5.95;0.81
1724;-4.84;1.23;8.65;-0.08;0.27;-0.45;-18.71;12.65;-4.68
1733;-5.04;0.93;8.81;-0.08;0.27;-0.45;-19.29;16.64;-10.32
1742;-4.94;0.61;8.88;-0.08;0.27;-0.45;-17.18;19.28;-11.59
1751;-5.07;0.54;8.88;-0.08;0.27;-0.44;-13.02;22.11;-6.80
1759;-5.07;0.18;8.50;-0.08;0.27;-0.44;-5.98;20.26;-0.58
1768;-4.97;-0.29;7.94;-0.08;0.27;-0.44;-0.19;13.85;9.99
1777;-4.85;-0.40;7.72;-0.07;0.27;-0.46;1.15;5.94;23.09
1786;-4.84;0.23;7.69;-0.07;0.27;-0.46;1.01;-3.18;28.41
1795;-4.75;0.56;8.05;-0.07;0.27;-0.46;-0.38;-7.80;26.47
1803;-4.83;1.00;8.51;-0.07;0.27;-0.46;-6.06;-7.43;21.42
1812;-4.89;1.16;8.87;-0.07;0.27;-0.46;-13.64;-2.44;15.96
1821;-4.93;1.26;9.17;-0.07;0.27;-0.46;-20.84;1.57;9.28
1830;-5.15;1.23;9.49;-0.08;0.27;-0.46;-22.23;5.04;2.73
1839;-5.08;0.90;9.59;-0.08;0.27;-0.46;-20.14;8.65;2.00
