Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
32;-3.55;1.87;8.54;-0.06;0.19;-0.41;0.35;-3.01;3.85
41;-3.50;1.94;8.53;-0.06;0.19;-0.41;1.05;-2.24;3.85
50;-3.66;1.95;8.48;-0.06;0.19;-0.41;1.33;-2.94;4.06
59;-3.62;1.97;8.45;-0.05;0.19;-0.42;1.40;-3.15;3.99
67;-3.65;2.05;8.74;-0.05;0.19;-0.42;1.75;-2.94;3.92
76;-3.82;1.92;8.77;-0.05;0.19;-0.42;1.47;-2.24;3.36
85;-3.68;2.02;8.86;-0.06;0.19;-0.41;2.80;-0.70;3.36
94;-3.93;2.05;8.74;-0.06;0.19;-0.41;3.99;1.05;2.94
103;-3.85;1.99;8.61;-0.06;0.19;-0.41;4.69;0.91;2.94
111;-3.85;1.88;8.48;-0.04;0.20;-0.41;5.74;0.42;3.43
120;-3.69;1.95;8.52;-0.04;0.20;-0.41;5.88;0.00;3.43
129;-3.63;1.83;8.52;-0.04;0.20;-0.41;5.60;-0.28;3.57
138;-3.48;1.84;8.54;-0.06;0.20;-0.41;5.18;1.05;3.01
146;-3.65;1.82;8.43;-0.06;0.20;-0.41;5.39;1.68;0.84
155;-3.46;1.90;8.46;-0.06;0.20;-0.40;5.32;3.36;2.38
164;-3.59;1.78;8.55;-0.05;0.20;-0.40;5.11;4.34;2.59
173;-3.54;1.82;8.51;-0.05;0.20;-0.40;5.04;4.69;3.08
181;-3.47;1.69;8.37;-0.05;0.20;-0.40;5.74;3.57;2.94
190;-3.51;1.71;8.40;-0.05;0.20;-0.40;5.95;3.29;3.01
199;-3.57;1.79;8.43;-0.05;0.20;-0.40;6.37;2.03;3.22
208;-3.45;1.79;8.34;-0.05;0.20;-0.42;6.72;0.49;3.64
216;-3.43;1.77;8.41;-0.05;0.20;-0.42;6.79;0.21;3.36
225;-3.46;1.85;8.53;-0.05;0.20;-0.42;5.88;0.70;2.52
234;-3.46;1.83;8.66;-0.05;0.20;-0.40;4.41;1.19;1.33
243;-3.36;1.82;8.71;-0.05;0.20;-0.40;2.94;2.45;0.21
251;-3.64;1.79;8.83;-0.05;0.20;-0.40;2.66;3.99;0.00
260;-3.67;1.73;8.67;-0.06;0.19;-0.42;2.24;4.76;0.14
269;-3.69;1.67;8.74;-0.06;0.19;-0.42;3.64;5.18;0.84
278;-3.75;1.59;8.72;-0.06;0.19;-0.42;6.30;4.55;2.73
286;-3.79;1.60;8.62;-0.05;0.20;-0.41;9.38;2.59;4.06
295;-3.78;1.77;8.61;-0.05;0.20;-0.41;11.76;1.19;4.97
304;-3.66;1.67;8.61;-0.05;0.20;-0.41;11.06;0.00;5.04
313;-3.76;1.62;8.59;-0.05;0.21;-0.41;8.96;-0.28;3.71
322;-3.67;1.75;8.75;-0.05;0.21;-0.41;6.72;-0.70;2.66
330;-3.78;1.62;8.76;-0.05;0.21;-0.41;5.74;0.21;2.03
339;-3.85;1.59;8.77;-0.07;0.20;-0.41;4.90;0.00;1.96
348;-3.77;1.67;8.86;-0.07;0.20;-0.41;4.13;0.77;2.31
357;-3.87;1.67;8.92;-0.07;0.20;-0.41;4.20;2.10;2.17
365;-3.90;1.74;8.82;-0.06;0.20;-0.41;4.90;2.17;2.17
374;-3.87;1.67;8.80;-0.06;0.20;-0.41;5.81;1.33;2.03
383;-3.78;1.64;8.78;-0.06;0.20;-0.41;5.18;0.77;1.68
392;-3.88;1.65;8.74;-0.06;0.21;-0.41;3.57;0.21;0.49
401;-3.82;1.67;8.81;-0.06;0.21;-0.41;1.19;-0.28;0.28
409;-3.78;1.64;8.79;-0.06;0.21;-0.41;-2.10;0.84;-1.33
418;-3.69;1.59;8.90;-0.05;0.20;-0.41;-3.99;1.19;-1.82
427;-3.64;1.50;8.80;-0.05;0.20;-0.41;-5.39;0.77;-1.68
436;-3.58;1.62;8.74;-0.05;0.20;-0.41;-4.90;0.49;-1.68
444;-3.68;1.61;8.81;-0.06;0.21;-0.42;-4.48;0.98;-1.89
453;-3.63;1.74;8.97;-0.06;0.21;-0.42;-4.27;2.03;-2.24
462;-3.78;1.72;9.07;-0.06;0.21;-0.42;-2.31;3.43;-2.10
471;-3.85;1.69;8.94;-0.06;0.20;-0.41;-0.35;4.27;-2.10
480;-3.88;1.59;8.91;-0.06;0.20;-0.41;1.47;3.85;-1.82
489;-3.95;1.54;8.82;-0.06;0.20;-0.42;2.87;3.57;-0.28
497;-3.87;1.49;8.78;-0.06;0.20;-0.42;3.50;2.38;0.28
506;-3.82;1.60;8.72;-0.06;0.20;-0.42;3.78;2.24;1.05
515;-3.95;1.70;8.57;-0.05;0.21;-0.41;2.45;1.12;0.98
524;-3.86;1.67;8.83;-0.05;0.21;-0.41;1.33;0.49;0.91
533;-3.76;1.59;8.76;-0.05;0.21;-0.41;0.28;17.78;0.07
541;-3.78;1.75;8.71;-0.06;0.21;-0.42;-1.89;-0.07;-0.70
550;-3.69;1.67;8.64;-0.06;0.21;-0.42;-4.06;-0.56;-1.19
559;-3.63;1.62;8.75;-0.06;0.21;-0.42;-5.18;-0.98;-1.26
568;-3.77;1.67;8.84;-0.06;0.21;-0.42;-5.25;0.07;-1.26
577;-3.77;1.72;9.01;-0.06;0.21;-0.42;-3.99;-0.70;-1.12
586;-3.63;1.69;9.07;-0.06;0.21;-0.42;-1.47;0.14;0.00
594;-3.65;1.74;9.05;-0.05;0.21;-0.42;1.05;1.89;-0.07
603;-3.76;1.80;8.98;-0.05;0.21;-0.42;1.82;1.68;0.42
612;-3.69;1.63;8.74;-0.05;0.21;-0.42;2.24;0.84;0.84
621;-3.65;1.67;8.78;-0.05;0.21;-0.41;1.68;0.35;0.14
630;-3.66;1.64;8.79;-0.05;0.21;-0.41;0.14;0.00;-0.49
639;-3.64;1.60;8.65;-0.05;0.21;-0.41;-1.54;-0.56;-1.33
647;-3.70;1.59;8.72;-0.05;0.21;-0.43;-3.50;-0.77;-2.45
