Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
33;-4.58;-0.32;8.56;-0.08;0.34;-0.47;-2.45;-5.32;0.35
42;-4.44;-0.22;8.48;-0.08;0.34;-0.47;-2.66;-5.39;0.49
51;-4.51;-0.12;8.51;-0.08;0.34;-0.47;-2.45;-5.04;0.28
59;-4.39;-0.28;8.46;-0.08;0.34;-0.47;-2.31;-5.04;-0.07
68;-4.45;-0.27;8.60;-0.08;0.34;-0.47;-2.94;-4.48;-0.91
77;-4.55;-0.27;8.48;-0.08;0.34;-0.47;-2.94;-4.20;-0.77
86;-4.57;-0.26;8.44;-0.08;0.34;-0.47;-2.73;-4.55;-1.19
95;-4.46;-0.43;8.37;-0.08;0.34;-0.47;-2.45;-4.34;-1.40
104;-4.63;-0.43;8.48;-0.08;0.34;-0.47;-1.89;-4.13;-0.91
112;-4.49;-0.38;8.48;-0.08;0.33;-0.46;-0.98;-3.64;-1.12
121;-4.57;-0.40;8.38;-0.08;0.33;-0.46;-0.84;-2.80;-0.70
130;-4.59;-0.39;8.43;-0.08;0.33;-0.46;-0.91;-2.17;-0.56
139;-4.65;-0.47;8.52;-0.08;0.33;-0.47;-1.40;-2.66;-1.40
148;-4.60;-0.47;8.36;-0.08;0.33;-0.47;-2.24;-2.80;-1.33
156;-4.56;-0.48;8.41;-0.08;0.33;-0.47;-2.17;-2.52;-1.05
165;-4.60;-0.42;8.52;-0.08;0.33;-0.47;-1.75;-2.59;-0.49
174;-4.57;-0.45;8.53;-0.08;0.33;-0.47;-0.63;-0.70;-0.14
183;-4.52;-0.29;8.54;-0.08;0.34;-0.46;-0.49;-0.07;-17.92
191;-4.43;-0.28;8.55;-0.08;0.34;-0.46;-0.49;0.98;0.00
200;-4.42;-0.23;8.39;-0.08;0.34;-0.46;-0.49;1.05;-0.28
209;-4.38;-0.30;8.52;-0.09;0.34;-0.47;-0.28;1.47;-0.84
218;-4.55;-0.29;8.51;-0.09;0.34;-0.47;0.00;0.21;-1.47
227;-4.48;-0.23;8.53;-0.09;0.34;-0.47;0.21;-0.70;-1.05
235;-4.41;-0.27;8.48;-0.08;0.34;-0.46;-0.49;-1.05;-1.05
244;-4.55;-0.29;8.58;-0.08;0.34;-0.46;-0.91;-0.91;-0.84
253;-4.47;-0.38;8.70;-0.08;0.34;-0.46;0.49;-0.63;-0.35
262;-4.51;-0.43;8.59;-0.09;0.34;-0.46;1.68;-0.56;0.00
271;-4.48;-0.36;8.73;-0.09;0.34;-0.46;1.19;0.00;0.07
279;-4.53;-0.39;8.71;-0.09;0.34;-0.46;0.28;0.35;0.77
288;-4.63;-0.45;8.79;-0.09;0.34;-0.46;-0.56;-0.35;0.28
297;-4.59;-0.38;8.74;-0.09;0.34;-0.46;-0.56;-1.54;0.28
306;-4.59;-0.34;8.84;-0.09;0.34;-0.46;-0.63;-1.82;0.70
315;-4.49;-0.32;8.79;-0.08;0.34;-0.47;0.00;-1.89;0.84
323;-4.45;-0.32;8.90;-0.08;0.34;-0.47;0.14;-2.45;0.14
332;-4.40;-0.29;8.90;-0.08;0.34;-0.47;0.14;-3.22;-0.42
341;-4.39;-0.25;8.93;-0.09;0.35;-0.48;-0.21;-3.29;-0.42
350;-4.34;-0.23;8.97;-0.09;0.35;-0.48;-0.28;-2.87;-0.42
358;-4.37;-0.19;8.89;-0.09;0.35;-0.48;-0.14;-3.36;-0.42
367;-4.29;-0.24;8.93;-0.08;0.34;-0.46;1.26;-3.43;0.00
376;-4.24;-0.31;8.84;-0.08;0.34;-0.46;1.61;-4.20;0.49
385;-4.24;-0.37;8.87;-0.08;0.34;-0.46;2.10;-4.62;0.56
393;-4.36;-0.39;9.07;-0.09;0.33;-0.46;1.19;-5.04;0.42
402;-4.20;-0.33;9.07;-0.09;0.33;-0.46;1.19;-4.83;0.21
411;-4.15;-0.45;9.01;-0.09;0.33;-0.46;0.14;-3.99;-0.21
420;-4.17;-0.34;8.97;-0.09;0.34;-0.46;-0.14;-3.29;-0.91
429;-4.11;-0.51;9.02;-0.09;0.34;-0.46;-0.91;-2.38;-1.05
437;-4.15;-0.57;8.89;-0.09;0.34;-0.46;-0.91;-1.40;-0.84
446;-4.23;-0.54;9.02;-0.09;0.33;-0.47;-0.49;-0.49;0.14
455;-4.21;-0.58;8.90;-0.09;0.33;-0.47;1.26;0.35;0.77
