Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
33;-3.14;-9.66;0.55;-0.16;0.89;-0.25;-3.22;-5.11;0.21
42;-3.09;-9.66;0.65;-0.16;0.89;-0.25;-3.08;-4.69;-0.35
50;-3.03;-9.57;0.50;-0.16;0.89;-0.25;-3.50;-4.69;-0.56
59;-3.15;-9.68;0.55;-0.16;0.87;-0.25;-3.36;-4.76;-0.84
68;-3.05;-9.60;0.59;-0.16;0.87;-0.25;-2.87;-4.55;-0.84
77;-3.07;-9.58;0.63;-0.16;0.87;-0.25;-2.73;-4.41;-0.56
85;-3.12;-9.52;0.62;-0.17;0.88;-0.26;-2.59;-3.99;-0.56
94;-3.01;-9.55;0.56;-0.17;0.88;-0.26;-1.96;-3.99;-0.63
103;-3.07;-9.60;0.48;-0.17;0.88;-0.26;-2.10;-2.94;-1.05
112;-3.07;-9.53;0.57;-0.17;0.88;-0.25;-2.52;-3.15;-0.84
120;-3.07;-9.60;0.53;-0.17;0.88;-0.25;-3.15;-2.94;-1.61
129;-3.01;-9.62;0.57;-0.17;0.88;-0.25;-3.01;-3.15;-2.45
138;-2.90;-9.70;0.52;-0.17;0.88;-0.27;-2.24;-3.36;-2.45
147;-2.78;-9.66;0.46;-0.17;0.88;-0.27;-1.26;-1.96;-3.01
156;-2.84;-9.68;0.58;-0.17;0.88;-0.27;-0.84;-0.77;-3.50
164;-2.95;-9.74;0.49;-0.17;0.88;-0.26;-0.98;-0.28;-3.64
173;-2.88;-9.79;0.51;-0.17;0.88;-0.26;0.28;0.35;-3.22
182;-3.03;-9.83;0.32;-0.17;0.88;-0.25;0.00;1.12;-2.73
191;-3.03;-9.83;0.39;-0.17;0.88;-0.25;0.49;0.70;-2.45
199;-3.12;-9.86;0.37;-0.17;0.88;-0.25;-0.07;0.63;-1.96
208;-2.95;-9.96;0.57;-0.18;0.88;-0.25;-0.28;0.98;-2.24
217;-2.85;-9.93;0.57;-0.18;0.88;-0.25;-0.91;1.82;-1.82
226;-2.71;-9.96;0.65;-0.18;0.88;-0.25;-17.92;2.31;-1.96
234;-2.73;-9.93;0.67;-0.17;0.89;-0.24;-0.49;2.80;-1.68
243;-2.73;-9.93;0.73;-0.17;0.89;-0.24;-0.98;2.73;-1.54
252;-2.94;-9.92;0.80;-0.17;0.89;-0.24;-0.98;2.59;-1.33
261;-3.08;-9.92;0.73;-0.17;0.88;-0.25;-0.35;3.29;-1.05
269;-3.13;-9.91;0.80;-0.17;0.88;-0.25;-0.42;3.71;0.07
278;-3.08;-9.82;0.75;-0.17;0.88;-0.25;-2.17;4.83;0.70
287;-2.96;-9.71;0.71;-0.16;0.88;-0.25;-3.71;5.11;0.42
296;-2.76;-9.86;0.71;-0.16;0.88;-0.25;-4.97;4.69;-0.07
304;-2.68;-9.78;0.72;-0.16;0.88;-0.25;-6.30;4.34;-0.49
313;-2.54;-9.76;0.70;-0.16;0.88;-0.24;-7.21;3.78;-1.12
322;-2.46;-9.76;0.78;-0.16;0.88;-0.24;-7.56;3.92;-1.89
331;-2.20;-9.76;0.85;-0.16;0.88;-0.24;-8.61;3.78;-3.01
339;-2.22;-9.70;0.85;-0.16;0.88;-0.25;-9.17;4.06;-3.57
348;-2.04;-9.64;0.99;-0.16;0.88;-0.25;-9.10;5.11;-4.06
357;-2.23;-9.54;0.95;-0.16;0.88;-0.25;-9.10;5.46;-4.90
366;-2.21;-9.56;0.97;-0.16;0.88;-0.26;-9.73;4.62;-4.76
374;-2.35;-9.57;1.14;-0.16;0.88;-0.26;-10.57;3.99;-4.76
383;-2.26;-9.65;1.22;-0.16;0.88;-0.26;-11.55;3.78;-4.55
392;-2.33;-9.64;1.19;-0.17;0.87;-0.25;-11.48;4.20;-4.69
401;-2.20;-9.87;1.50;-0.17;0.87;-0.25;-9.73;4.13;-4.27
410;-2.45;-9.88;1.51;-0.17;0.87;-0.25;-5.88;2.80;-4.41
418;-2.12;-10.19;1.59;-0.17;0.87;-0.26;-2.52;0.49;-3.01
427;-2.23;-10.15;1.54;-0.17;0.87;-0.26;1.12;-1.12;-1.54
436;-2.09;-10.39;1.46;-0.17;0.87;-0.26;4.69;-2.24;-0.49
445;-2.15;-10.42;1.51;-0.16;0.87;-0.26;5.88;-1.82;0.42
454;-2.00;-10.47;1.35;-0.16;0.87;-0.26;6.44;-1.05;0.77
462;-1.90;-10.44;1.36;-0.16;0.87;-0.26;6.02;-0.28;1.40
471;-1.90;-10.41;1.40;-0.17;0.87;-0.25;5.60;1.33;1.96
480;-1.78;-10.55;1.29;-0.17;0.87;-0.25;5.11;2.38;2.24
489;-1.86;-10.55;1.26;-0.17;0.87;-0.25;3.22;3.57;3.15
497;-1.83;-10.58;1.29;-0.17;0.88;-0.26;1.26;4.62;5.18
506;-1.77;-10.55;1.31;-0.17;0.88;-0.26;-0.14;7.49;6.86
515;-1.83;-10.44;1.33;-0.17;0.88;-0.26;-0.21;9.59;7.35
524;-1.76;-10.35;1.21;-0.16;0.87;-0.25;2.38;9.87;7.91
532;-1.59;-10.25;1.21;-0.16;0.87;-0.25;5.46;9.38;8.19
541;-1.48;-10.27;1.20;-0.15;0.88;-0.26;8.19;9.24;7.91
550;-1.31;-10.38;1.09;-0.15;0.88;-0.26;8.40;10.78;7.07
559;-1.51;-10.28;0.90;-0.15;0.88;-0.26;5.11;12.25;6.51
567;-1.65;-10.21;0.90;-0.16;0.87;-0.26;0.84;14.91;5.18
576;-1.71;-10.09;0.63;-0.16;0.87;-0.26;-6.09;18.83;3.57
585;-3.67;-10.08;0.69;-0.16;0.87;-0.26;-13.30;22.47;0.77
594;-1.92;-10.02;0.81;-0.16;0.88;-0.25;-20.16;25.55;-1.26
603;-1.95;-10.10;1.09;-0.16;0.88;-0.25;-25.97;27.44;-3.71
611;-2.15;-10.15;1.68;-0.16;0.88;-0.25;-27.79;29.89;-5.18
620;-2.23;-10.04;1.96;-0.15;0.88;-0.25;-25.97;33.88;-5.39
629;-2.24;-9.93;2.01;-0.15;0.88;-0.25;-22.75;34.16;-5.11
638;-2.15;-9.78;2.03;-0.15;0.88;-0.25;-16.38;33.88;-5.25
646;-2.06;-9.60;1.73;-0.15;0.87;-0.27;-11.76;32.55;-7.00
655;-2.13;-9.48;1.60;-0.15;0.87;-0.27;-10.64;32.62;-9.17
664;-2.15;-9.30;1.51;-0.15;0.87;-0.27;-12.53;34.02;-11.83
673;-2.08;-9.45;1.69;-0.15;0.88;-0.27;-18.62;37.17;-14.70
682;-2.07;-9.48;1.95;-0.15;0.88;-0.27;-25.62;43.82;-16.73
690;-1.77;-9.58;2.27;-0.15;0.88;-0.27;-34.72;53.48;-17.78
699;-1.16;-10.19;3.10;-0.15;0.87;-0.28;-49.49;65.66;-19.46
708;-0.11;-10.80;4.13;-0.15;0.87;-0.28;-67.34;75.60;-20.93
717;1.41;-11.36;5.82;-0.15;0.87;-0.28;-78.61;81.27;-21.77
725;3.98;-11.55;7.67;-0.16;0.86;-0.29;-83.51;84.07;-26.11
734;7.07;-10.95;9.51;-0.16;0.86;-0.29;-86.94;90.79;-28.56
743;10.36;-9.31;11.11;-0.16;0.86;-0.29;-99.05;95.27;-37.66
752;12.11;-7.16;12.73;-0.14;0.87;-0.29;-115.71;101.78;-63.56
760;12.31;-3.01;13.79;-0.14;0.87;-0.29;-138.32;98.91;-122.36
