Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
33;-5.05;0.29;8.33;-0.07;0.35;-0.47;-8.82;-0.56;1.68
42;-5.13;0.23;8.35;-0.07;0.35;-0.47;-8.68;-0.84;2.17
50;-4.97;0.29;8.28;-0.07;0.35;-0.47;-6.02;-1.61;3.15
59;-5.00;0.43;8.37;-0.07;0.35;-0.47;-3.99;-2.10;3.29
68;-4.96;0.57;8.37;-0.07;0.35;-0.47;-3.85;-2.10;3.43
77;-5.02;0.47;8.26;-0.07;0.35;-0.47;-5.25;-2.94;2.73
85;-4.95;0.50;8.45;-0.08;0.35;-0.48;-6.79;-3.01;1.33
94;-4.97;0.50;8.33;-0.08;0.35;-0.48;-6.79;-2.59;0.98
103;-4.93;0.34;8.33;-0.08;0.35;-0.48;-5.32;-2.80;1.05
111;-4.90;0.38;8.29;-0.07;0.35;-0.48;-3.36;-2.45;1.05
120;-4.89;0.29;8.14;-0.07;0.35;-0.48;-1.68;-3.64;1.40
129;-4.97;0.34;8.30;-0.07;0.35;-0.48;-0.84;-3.78;1.61
138;-4.90;0.42;8.32;-0.07;0.35;-0.48;-1.47;-3.50;1.19
146;-4.95;0.43;8.40;-0.07;0.35;-0.48;-2.94;-2.87;1.12
155;-4.97;0.39;8.48;-0.07;0.35;-0.48;-3.29;-1.89;0.84
164;-5.01;0.47;8.40;-0.08;0.35;-0.48;-3.85;-0.70;0.56
173;-4.95;0.50;8.43;-0.08;0.35;-0.48;-2.45;-1.12;0.35
181;-5.04;0.36;8.35;-0.08;0.35;-0.48;-0.35;-0.98;1.19
190;-4.97;0.52;8.51;-0.07;0.35;-0.48;1.05;-0.21;1.05
199;-4.94;0.52;8.46;-0.07;0.35;-0.48;0.28;0.91;1.05
208;-5.00;0.50;8.41;-0.08;0.36;-0.48;-0.98;1.89;0.56
217;-5.10;0.44;8.39;-0.08;0.36;-0.48;-1.89;1.68;0.21
225;-5.05;0.32;8.45;-0.08;0.36;-0.48;-1.33;2.17;0.00
234;-5.04;0.19;8.30;-0.06;0.35;-0.49;-1.19;2.10;0.14
243;-4.92;0.29;8.38;-0.06;0.35;-0.49;-1.12;1.89;0.98
252;-4.89;0.35;8.36;-0.06;0.35;-0.49;0.00;2.24;1.75
260;-4.92;0.36;8.36;-0.07;0.35;-0.49;1.12;1.89;2.31
269;-4.95;0.33;8.33;-0.07;0.35;-0.49;1.96;1.12;2.10
278;-4.90;0.36;8.25;-0.07;0.35;-0.49;1.05;1.75;2.24
287;-5.00;0.40;8.34;-0.08;0.36;-0.48;-0.70;1.82;1.47
295;-4.89;0.31;8.35;-0.08;0.36;-0.48;-2.52;2.52;0.77
304;-4.87;0.36;8.46;-0.08;0.36;-0.48;-2.52;3.22;0.28
313;-4.84;0.30;8.39;-0.08;0.35;-0.48;-0.77;2.94;0.70
322;-4.92;0.32;8.31;-0.08;0.35;-0.48;1.19;2.45;1.05
331;-4.97;0.48;8.27;-0.08;0.35;-0.48;1.33;2.66;0.70
339;-4.97;0.45;8.18;-0.07;0.34;-0.48;0.14;2.87;0.49
348;-4.95;0.27;8.09;-0.07;0.34;-0.48;-0.42;2.45;0.42
357;-4.94;0.22;8.14;-0.07;0.34;-0.48;0.21;1.75;0.98
366;-4.83;0.33;7.93;-0.07;0.35;-0.46;1.12;0.77;1.47
374;-4.87;0.32;8.03;-0.07;0.35;-0.46;0.91;0.21;1.75
383;-4.89;0.40;8.18;-0.07;0.35;-0.46;-0.49;0.28;1.05
392;-4.99;0.34;8.26;-0.07;0.36;-0.48;-2.24;0.56;0.07
401;-5.00;0.35;8.25;-0.07;0.36;-0.48;-3.71;0.21;-0.42
409;-4.95;0.34;8.20;-0.07;0.36;-0.48;-2.87;-0.77;0.14
418;-4.85;0.32;8.30;-0.06;0.35;-0.49;-0.49;-2.38;1.12
427;-4.90;0.26;8.39;-0.06;0.35;-0.49;1.19;-3.29;1.54
436;-4.91;0.44;8.37;-0.06;0.35;-0.49;1.40;-2.38;1.61
444;-4.90;0.37;8.52;-0.06;0.35;-0.49;0.70;-1.33;1.19
453;-4.87;0.29;8.46;-0.06;0.35;-0.49;1.19;-0.63;1.12
462;-4.95;0.37;8.43;-0.06;0.35;-0.49;1.68;-0.49;0.70
471;-4.90;0.40;8.28;-0.08;0.35;-0.47;0.98;-0.14;0.14
479;-4.88;0.35;8.35;-0.08;0.35;-0.47;-0.07;-0.42;-0.42
488;-4.98;0.41;8.17;-0.08;0.35;-0.47;-0.91;-1.40;-1.12
497;-4.86;0.37;8.13;-0.07;0.34;-0.48;-1.19;-2.52;-0.70
506;-4.91;0.31;8.18;-0.07;0.34;-0.48;-1.47;-2.45;-0.35
515;-5.04;0.36;8.36;-0.07;0.34;-0.48;-1.33;-2.73;-0.21
523;-4.95;0.27;8.56;-0.07;0.34;-0.47;-1.89;-2.59;0.00
532;-4.99;0.27;8.56;-0.07;0.34;-0.47;-1.54;-0.91;0.07
541;-5.06;0.29;8.61;-0.06;0.34;-0.47;-0.28;-0.49;0.91
550;-5.12;0.25;8.54;-0.06;0.34;-0.47;1.54;0.14;1.47
558;-5.10;0.28;8.48;-0.06;0.34;-0.47;3.50;-0.28;1.96
567;-4.98;0.27;8.26;-0.08;0.34;-0.48;3.85;-0.35;2.24
576;-5.00;0.24;8.22;-0.08;0.34;-0.48;2.87;-0.07;2.38
585;-4.92;0.35;8.15;-0.08;0.34;-0.48;-0.14;0.07;1.19
594;-4.95;0.45;8.17;-0.07;0.35;-0.47;-3.15;0.28;0.07
602;-4.85;0.25;8.22;-0.07;0.35;-0.47;-4.69;0.21;-0.77
611;-4.96;0.25;8.57;-0.07;0.35;-0.47;-3.29;0.07;0.21
620;-4.88;0.33;8.43;-0.07;0.35;-0.48;-1.05;0.70;0.56
629;-4.93;0.45;8.46;-0.07;0.35;-0.48;0.56;1.61;0.77
637;-4.88;0.39;8.35;-0.07;0.35;-0.48;1.05;1.12;0.91
646;-4.92;0.41;8.23;-0.07;0.35;-0.48;1.19;0.84;0.56
655;-4.93;0.25;8.18;-0.07;0.35;-0.48;1.19;-0.14;0.63
664;-4.94;0.24;8.25;-0.07;0.35;-0.48;0.91;-1.61;0.56
672;-4.94;0.36;8.08;-0.07;0.35;-0.48;0.98;-1.75;0.42
681;-4.96;0.30;8.26;-0.07;0.35;-0.48;0.14;-2.10;0.63
690;-5.10;0.27;8.31;-0.07;0.35;-0.48;-0.56;-2.38;0.21
698;-4.94;0.29;8.26;-0.08;0.36;-0.48;-0.98;-2.31;-0.21
707;-4.92;0.34;8.28;-0.08;0.36;-0.48;-1.68;-2.03;-0.49
716;-4.86;0.27;8.38;-0.08;0.36;-0.48;-1.47;-1.26;-0.35
725;-4.85;0.29;8.31;-0.07;0.34;-0.48;-0.14;0.00;-0.35
733;-4.89;0.30;8.40;-0.07;0.34;-0.48;0.42;0.84;0.00
742;-4.93;0.28;8.32;-0.07;0.34;-0.48;1.12;1.54;0.21
751;-5.02;0.20;8.35;-0.08;0.34;-0.49;0.70;0.63;0.70
760;-5.04;0.21;8.23;-0.08;0.34;-0.49;1.75;0.35;1.40
768;-5.06;0.04;8.08;-0.08;0.34;-0.49;3.15;-0.70;1.96
777;-4.90;0.18;8.12;-0.07;0.34;-0.49;2.03;-0.63;2.31
786;-4.83;0.12;8.05;-0.07;0.34;-0.49;0.21;-0.84;1.96
795;-4.89;0.09;8.18;-0.07;0.34;-0.49;-1.75;-1.26;1.82
804;-4.82;0.22;8.19;-0.06;0.35;-0.49;-2.73;-2.17;1.47
812;-4.92;0.29;8.38;-0.06;0.35;-0.49;-2.87;-2.03;0.84
821;-4.99;0.33;8.33;-0.06;0.35;-0.49;-2.24;-1.61;1.33
830;-4.91;0.42;8.56;-0.07;0.36;-0.48;-1.75;-0.91;1.19
839;-5.02;0.37;8.47;-0.07;0.36;-0.48;-1.12;-0.28;1.40
848;-4.92;0.30;8.20;-0.07;0.36;-0.48;-0.21;-0.63;0.91
856;-4.93;0.30;8.19;-0.07;0.36;-0.48;0.14;-1.12;1.05
865;-4.98;0.24;8.18;-0.07;0.36;-0.48;0.63;-1.75;1.54
874;-4.92;0.32;8.24;-0.07;0.36;-0.48;0.63;-2.38;2.38
883;-4.97;0.34;8.41;-0.08;0.35;-0.48;-0.56;-1.96;2.03
891;-4.93;0.39;8.38;-0.08;0.35;-0.48;-1.40;-1.40;1.12
900;-5.01;0.50;8.32;-0.07;0.35;-0.48;-1.61;-1.40;0.98
909;-4.96;0.46;8.32;-0.07;0.35;-0.48;17.64;-1.96;0.77
918;-4.95;0.39;8.38;-0.07;0.35;-0.48;0.28;-2.03;0.07
926;-4.99;0.37;8.37;-0.07;0.35;-0.47;-0.28;-1.82;0.14
935;-5.02;0.32;8.44;-0.07;0.35;-0.47;-0.63;-1.82;0.63
944;-5.08;0.24;8.43;-0.07;0.35;-0.47;-1.33;-1.26;0.49
953;-5.00;0.21;8.40;-0.07;0.35;-0.47;-1.68;-0.63;0.56
961;-5.05;0.34;8.54;-0.07;0.35;-0.47;-0.91;0.00;0.84
970;-5.03;0.37;8.37;-0.07;0.35;-0.47;0.21;0.14;1.19
979;-5.02;0.35;8.28;-0.07;0.36;-0.47;1.05;0.14;1.33
988;-5.08;0.35;8.16;-0.07;0.36;-0.47;0.42;-0.63;1.12
996;-4.93;0.37;8.25;-0.07;0.36;-0.47;-0.70;-1.47;0.35
1005;-5.00;0.22;8.23;-0.07;0.35;-0.48;-0.98;-1.61;0.07
1014;-5.03;0.30;8.30;-0.07;0.35;-0.48;-1.54;-1.82;-0.14
1023;-4.97;0.36;8.37;-0.07;0.35;-0.48;-0.98;-1.68;-0.07
1032;-5.02;0.35;8.45;-0.08;0.35;-0.47;-0.63;-0.98;-0.14
1040;-5.02;0.39;8.31;-0.08;0.35;-0.47;-0.91;-0.84;-0.35
1049;-4.97;0.33;8.39;-0.08;0.35;-0.47;-0.35;-0.84;0.21
1058;-5.08;0.25;8.38;-0.07;0.35;-0.48;-0.35;-1.40;0.56
1067;-5.03;0.25;8.28;-0.07;0.35;-0.48;0.14;-1.68;0.84
1075;-5.01;0.32;8.31;-0.07;0.35;-0.48;-0.07;-1.05;1.54
1084;-5.02;0.30;8.35;-0.07;0.35;-0.47;-0.63;-0.14;1.61
1093;-5.00;0.34;8.30;-0.07;0.35;-0.47;-0.35;-0.70;1.19
1102;-4.80;0.37;8.26;-0.07;0.35;-0.47;-0.14;-0.42;0.84
1110;-4.87;0.29;8.31;-0.08;0.35;-0.48;-0.70;0.00;0.63
1119;-5.02;0.27;8.40;-0.08;0.35;-0.48;-0.63;-0.28;0.77
1128;-5.00;0.38;8.31;-0.08;0.35;-0.48;-0.56;-1.12;0.84
1137;-4.98;0.29;8.32;-0.08;0.35;-0.48;0.21;-1.05;0.77
1145;-4.92;0.37;8.36;-0.08;0.35;-0.48;-0.14;-0.98;0.91
1154;-4.90;0.40;8.28;-0.08;0.35;-0.48;-1.12;-0.49;0.28
1163;-4.89;0.34;8.30;-0.07;0.36;-0.48;-1.61;0.00;-0.56
1172;-4.97;0.34;8.28;-0.07;0.36;-0.48;-1.89;-0.07;-0.63
1181;-4.97;0.32;8.26;-0.07;0.36;-0.48;-2.24;-0.49;-0.70
1189;-5.08;0.26;8.26;-0.08;0.35;-0.48;-1.75;-1.47;-0.42
1198;-4.92;0.29;8.46;-0.08;0.35;-0.48;-1.40;-1.05;0.28
1207;-4.96;0.31;8.33;-0.08;0.35;-0.48;-1.26;-0.98;0.28
1216;-5.00;0.41;8.42;-0.08;0.35;-0.49;-0.14;-0.77;0.28
1225;-5.12;0.36;8.49;-0.08;0.35;-0.49;1.05;-0.42;0.77
1233;-5.06;0.35;8.41;-0.07;0.35;-0.48;1.26;0.00;0.56
1242;-4.95;0.29;8.27;-0.07;0.35;-0.48;0.49;0.42;0.63
1251;-5.05;0.22;8.25;-0.07;0.35;-0.48;-0.42;-0.14;0.49
1260;-5.01;0.27;8.27;-0.08;0.35;-0.49;-0.77;0.14;0.35
1268;-4.87;0.19;8.41;-0.08;0.35;-0.49;-1.68;-0.14;0.35
1277;-4.97;0.28;8.27;-0.08;0.35;-0.49;-1.40;0.14;0.56
1286;-4.89;0.22;8.27;-0.07;0.35;-0.48;-0.98;-0.35;0.56
1295;-5.04;0.27;8.28;-0.07;0.35;-0.48;-1.33;-0.49;0.35
1304;-5.08;0.29;8.24;-0.07;0.35;-0.48;-0.77;-0.84;0.70
1312;-5.00;0.22;8.09;-0.07;0.35;-0.48;0.56;-1.40;1.54
1321;-4.92;0.23;8.29;-0.07;0.35;-0.48;1.47;-1.82;2.24
1330;-4.92;0.27;8.28;-0.07;0.35;-0.48;1.68;-1.68;1.89
1339;-4.96;0.39;8.33;-0.07;0.35;-0.49;0.77;-1.33;1.82
1347;-4.93;0.50;8.31;-0.07;0.35;-0.49;-0.56;0.07;1.40
1356;-5.05;0.36;8.32;-0.07;0.35;-0.49;-2.45;-0.63;0.63
1365;-4.96;0.35;8.31;-0.08;0.35;-0.48;-3.43;-0.49;0.14
1374;-5.05;0.27;8.36;-0.08;0.35;-0.48;-2.87;-0.98;0.35
1382;-5.02;0.23;8.34;-0.08;0.35;-0.48;-1.12;-1.19;1.12
1391;-5.07;0.26;8.30;-0.07;0.35;-0.48;0.56;-1.75;1.82
1400;-4.90;0.27;8.28;-0.07;0.35;-0.48;1.54;-1.47;2.17
1409;-4.92;0.37;8.44;-0.07;0.35;-0.48;1.40;-0.70;1.89
1418;-4.95;0.42;8.32;-0.07;0.35;-0.48;-0.21;-0.35;1.68
1426;-5.08;0.36;8.26;-0.07;0.35;-0.48;-2.24;-0.28;0.49
1435;-5.02;0.38;8.41;-0.07;0.35;-0.48;-2.38;-0.49;0.49
1444;-5.05;0.28;8.46;-0.07;0.35;-0.49;-1.75;-0.49;0.49
1453;-5.00;0.42;8.43;-0.07;0.35;-0.49;-0.49;-0.14;1.40
1461;-4.99;0.45;8.34;-0.07;0.35;-0.49;0.35;-0.42;1.33
1470;-5.02;0.46;8.41;-0.07;0.34;-0.48;0.21;-0.56;0.63
1479;-5.04;0.39;8.26;-0.07;0.34;-0.48;0.00;0.63;0.84
1488;-4.97;0.27;8.34;-0.07;0.34;-0.48;-0.35;-0.07;1.05
1496;-4.92;0.32;8.28;-0.08;0.34;-0.47;0.28;-0.14;1.19
1505;-4.99;0.26;8.27;-0.08;0.34;-0.47;0.49;-0.98;1.47
1514;-5.02;0.27;8.36;-0.08;0.34;-0.47;-0.07;-0.98;1.47
1523;-4.95;0.33;8.43;-0.08;0.35;-0.46;-0.77;-0.35;1.47
1532;-5.03;0.46;8.45;-0.08;0.35;-0.46;-1.19;-0.07;1.19
1540;-5.09;0.45;8.48;-0.08;0.35;-0.46;-0.56;-0.07;1.40
1549;-5.04;0.35;8.26;-0.07;0.35;-0.49;0.14;-0.28;1.47
1558;-4.96;0.39;8.38;-0.07;0.35;-0.49;1.26;-0.63;1.82
1567;-4.97;0.45;8.23;-0.07;0.35;-0.48;0.56;-0.14;1.68
1575;-4.93;0.49;8.18;-0.07;0.34;-0.48;-0.84;-0.35;0.91
1584;-5.00;0.45;8.19;-0.07;0.34;-0.48;-1.89;-0.07;0.49
1593;-4.86;0.39;8.32;-0.07;0.35;-0.48;-1.54;0.21;0.35
1602;-4.87;0.34;8.28;-0.07;0.35;-0.48;-0.42;-0.07;0.56
1610;-4.93;0.39;8.38;-0.07;0.35;-0.48;0.84;-0.42;0.14
1619;-4.91;0.46;8.25;-0.07;0.34;-0.48;0.84;-0.07;0.07
1628;-4.90;0.37;8.23;-0.07;0.34;-0.48;0.70;-0.84;-0.35
1637;-4.99;0.38;8.36;-0.07;0.34;-0.48;-1.26;-1.19;-0.28
1645;-5.05;0.44;8.35;-0.08;0.35;-0.48;-2.73;-1.68;-0.77
1654;-5.02;0.32;8.30;-0.08;0.35;-0.48;-1.75;-1.89;-1.05
1663;-4.97;0.25;8.46;-0.08;0.35;-0.48;17.64;-1.47;0.07
1672;-5.04;0.22;8.33;-0.07;0.36;-0.49;1.33;-1.05;0.98
1681;-4.92;0.14;8.33;-0.07;0.36;-0.49;2.17;-0.77;0.91
1689;-5.00;0.19;8.21;-0.07;0.36;-0.49;1.89;-0.21;1.12
1698;-5.04;0.23;8.12;-0.07;0.35;-0.48;1.19;-0.21;1.05
1707;-4.93;0.23;8.16;-0.07;0.35;-0.48;-0.35;0.00;0.21
1716;-4.92;0.33;8.33;-0.07;0.35;-0.48;-0.98;-0.35;-0.35
1724;-5.03;0.29;8.31;-0.07;0.36;-0.48;-1.33;0.07;-0.77
1733;-5.02;0.30;8.33;-0.07;0.36;-0.48;-2.31;0.42;-0.56
1742;-4.94;0.24;8.36;-0.07;0.36;-0.48;-1.75;0.35;-1.05
1751;-5.02;0.22;8.15;-0.09;0.36;-0.48;-0.56;0.49;0.07
1760;-4.95;0.22;8.27;-0.09;0.36;-0.48;0.14;0.49;0.98
1768;-4.92;0.19;8.23;-0.09;0.36;-0.48;0.49;0.21;1.19
1777;-4.90;0.27;8.16;-0.07;0.35;-0.47;0.21;-0.28;1.26
1786;-4.94;0.29;8.12;-0.07;0.35;-0.47;-0.91;-1.68;0.63
1795;-4.98;0.31;8.24;-0.07;0.35;-0.47;-2.24;-2.45;-0.07
1804;-5.00;0.22;8.35;-0.07;0.35;-0.49;-3.08;-2.59;0.07
1812;-4.92;0.20;8.46;-0.07;0.35;-0.49;-2.10;-2.03;0.35
1821;-4.97;0.35;8.41;-0.07;0.35;-0.49;-1.47;-1.19;0.14
1830;-5.00;0.34;8.46;-0.07;0.34;-0.49;-0.91;-0.70;0.42
1839;-5.00;0.31;8.38;-0.07;0.34;-0.49;-0.28;0.49;0.21
1848;-5.03;0.29;8.35;-0.07;0.34;-0.49;0.28;0.63;0.07
1856;-5.02;0.25;8.23;-0.07;0.34;-0.49;0.70;0.07;0.56
1865;-5.04;0.12;8.23;-0.07;0.34;-0.49;1.61;-0.91;1.12
1874;-4.98;0.20;8.28;-0.07;0.34;-0.49;1.26;-1.26;1.33
1883;-4.97;0.32;8.25;-0.07;0.35;-0.48;0.70;-1.68;1.61
1891;-5.02;0.40;8.24;-0.07;0.35;-0.48;-0.77;-1.75;0.56
1900;-4.97;0.34;8.37;-0.07;0.35;-0.47;-1.96;-1.54;0.49
1909;-4.97;0.35;8.15;-0.08;0.35;-0.47;-2.66;-1.19;-0.07
