Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
33;-0.45;-0.63;9.58;-0.15;0.70;-0.43;-2.80;-4.41;0.98
42;-0.41;-0.64;9.52;-0.15;0.70;-0.43;-2.59;-4.83;0.14
50;-0.37;-0.61;9.50;-0.15;0.70;-0.43;-3.08;-4.62;0.21
59;-0.34;-0.57;9.44;-0.14;0.69;-0.43;-2.73;-4.76;0.00
68;-0.36;-0.59;9.46;-0.14;0.69;-0.43;-2.24;-4.48;0.07
76;-0.41;-0.57;9.55;-0.14;0.69;-0.43;-2.59;-4.48;0.07
85;-0.38;-0.60;9.65;-0.14;0.69;-0.44;-2.73;-4.34;-17.71
94;-0.45;-0.62;9.56;-0.14;0.69;-0.44;-2.38;-3.85;-0.35
103;-0.44;-0.60;9.58;-0.14;0.69;-0.44;-2.24;-3.50;-0.49
111;-0.35;-0.62;9.53;-0.14;0.69;-0.44;-2.66;-3.29;-0.35
120;-0.47;-0.56;9.43;-0.14;0.69;-0.44;-2.10;-3.01;-0.63
129;-0.45;-0.59;9.53;-0.14;0.69;-0.44;-1.82;-2.94;-0.56
138;-0.42;-0.59;9.50;-0.15;0.70;-0.44;-1.54;-2.31;-0.70
146;-0.40;-0.55;9.48;-0.15;0.70;-0.44;-1.89;-2.03;-0.98
155;-0.39;-0.64;9.58;-0.15;0.70;-0.44;-1.47;-1.96;-0.98
164;-0.40;-0.55;9.72;-0.14;0.69;-0.43;-0.98;-1.26;-1.26
173;-0.44;-0.65;9.57;-0.14;0.69;-0.43;-0.42;-0.70;-0.77
181;-0.48;-0.62;9.51;-0.14;0.69;-0.43;-0.42;-0.28;-0.98
190;-0.48;-0.60;9.64;-0.15;0.69;-0.45;-0.28;0.07;-0.91
199;-0.47;-0.55;9.57;-0.15;0.69;-0.45;0.42;0.63;-0.84
207;-0.44;-0.61;9.52;-0.15;0.69;-0.44;0.28;0.07;-1.19
216;-0.41;-0.59;9.56;-0.14;0.69;-0.44;0.00;0.42;-1.12
225;-0.45;-0.65;9.58;-0.14;0.69;-0.44;0.63;0.77;-1.05
234;-0.37;-0.56;9.49;-0.15;0.69;-0.44;0.35;0.91;-0.84
242;-0.41;-0.64;9.57;-0.15;0.69;-0.44;0.42;0.84;-0.63
251;-0.46;-0.62;9.60;-0.15;0.69;-0.44;0.98;1.12;-0.28
260;-0.39;-0.60;9.50;-0.15;0.69;-0.44;0.91;1.05;-0.21
269;-0.43;-0.59;9.59;-0.15;0.69;-0.44;0.77;0.91;-0.42
277;-0.44;-0.58;9.50;-0.15;0.69;-0.44;0.98;1.19;-0.28
286;-0.37;-0.62;9.54;-0.13;0.68;-0.43;0.63;1.19;-0.49
295;-0.34;-0.61;9.57;-0.13;0.68;-0.43;0.84;1.40;-0.35
304;-0.38;-0.61;9.62;-0.13;0.68;-0.43;0.49;1.19;-0.35
312;-0.55;-0.55;9.58;-0.15;0.69;-0.44;0.77;1.12;-0.21
321;-0.36;-0.55;9.55;-0.15;0.69;-0.44;0.77;0.98;-0.63
330;-0.42;-0.58;9.56;-0.15;0.69;-0.44;0.63;1.19;-0.63
339;-0.39;-0.64;9.59;-0.14;0.69;-0.42;0.63;0.91;-0.42
347;-0.45;-0.68;9.66;-0.14;0.69;-0.42;0.35;0.91;-0.63
356;-0.37;-0.65;9.59;-0.14;0.69;-0.42;0.84;0.70;-0.28
365;-0.40;-0.67;9.63;-0.15;0.70;-0.43;0.14;0.49;-0.63
374;-0.41;-0.60;9.60;-0.15;0.70;-0.43;0.56;0.35;-0.21
382;-0.43;-0.59;9.51;-0.15;0.70;-0.43;0.84;0.21;-0.14
391;-0.49;-0.61;9.56;-0.14;0.69;-0.44;0.42;0.21;0.00
400;-0.44;-0.65;9.56;-0.14;0.69;-0.44;0.63;0.07;0.00
409;-0.42;-0.55;9.45;-0.14;0.69;-0.44;0.42;0.56;0.07
417;-0.45;-0.58;9.56;-0.15;0.69;-0.44;0.14;-0.21;-0.07
426;-0.37;-0.58;9.50;-0.15;0.69;-0.44;0.00;-0.63;-0.35
435;-0.32;-0.65;9.58;-0.15;0.69;-0.44;-0.49;-0.77;-0.42
444;-0.42;-0.72;9.52;-0.15;0.69;-0.44;-0.07;-0.91;-0.21
452;-0.37;-0.62;9.48;-0.15;0.69;-0.44;-0.56;-0.14;-0.35
461;-0.34;-0.54;9.55;-0.15;0.69;-0.44;0.00;-0.63;-0.42
470;-0.49;-0.65;9.56;-0.14;0.69;-0.44;0.00;-0.56;-0.28
478;-0.44;-0.59;9.51;-0.14;0.69;-0.44;0.07;-0.28;-0.21
487;-0.45;-0.58;9.63;-0.14;0.69;-0.44;-0.14;-0.49;-0.56
496;-0.42;-0.65;9.66;-0.14;0.69;-0.43;0.00;-0.63;-0.42
505;-0.40;-0.62;9.54;-0.14;0.69;-0.43;-0.14;-0.49;-0.63
513;-0.42;-0.55;9.66;-0.14;0.69;-0.43;-0.28;-0.28;0.07
522;-0.50;-0.62;9.53;-0.14;0.69;-0.43;0.14;-0.49;-0.49
531;-0.42;-0.62;9.59;-0.14;0.69;-0.43;-0.42;-0.35;-0.42
540;-0.43;-0.60;9.56;-0.14;0.69;-0.43;-0.14;-0.28;-0.42
548;-0.44;-0.70;9.63;-0.13;0.70;-0.44;0.21;-0.56;-0.28
557;-0.52;-0.52;9.66;-0.13;0.70;-0.44;0.14;-0.42;-0.14
566;-0.39;-0.62;9.62;-0.13;0.70;-0.44;-0.07;-0.70;-0.21
574;-0.47;-0.68;9.61;-0.15;0.69;-0.45;-0.28;-0.21;-0.35
583;-0.39;-0.62;9.48;-0.15;0.69;-0.45;0.00;-0.70;-0.28
592;-0.42;-0.67;9.62;-0.15;0.69;-0.43;0.14;-0.21;-0.28
600;-0.40;-0.61;9.57;-0.13;0.69;-0.43;0.28;-0.63;-0.35
609;-0.39;-0.60;9.43;-0.13;0.69;-0.43;-17.85;-0.42;-0.21
618;-0.43;-0.57;9.54;-0.14;0.69;-0.44;0.21;-0.21;-0.28
627;-0.47;-0.65;9.63;-0.14;0.69;-0.44;-0.07;-0.35;-0.28
635;-0.52;-0.57;9.64;-0.14;0.69;-0.44;-0.56;-0.28;-0.14
644;-0.34;-0.59;9.49;-0.14;0.68;-0.42;0.28;-0.28;0.21
653;-0.48;-0.53;9.50;-0.14;0.68;-0.42;-0.28;-0.14;-0.28
