Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
6;-1.52;0.66;9.32;-0.20;0.20;-0.42;-22.22;-31.04;5.91
15;-1.43;0.68;9.36;-0.20;0.20;-0.42;-21.87;-31.54;5.66
24;-1.48;0.66;9.22;-0.20;0.20;-0.42;-22.37;-31.43;5.78
33;-1.46;0.68;9.29;-0.20;0.21;-0.41;-22.05;-31.44;5.73
42;-1.48;0.66;9.29;-0.20;0.21;-0.41;-22.25;-31.47;5.87
50;-1.52;0.70;9.19;-0.20;0.21;-0.41;-21.91;-31.33;5.71
59;-1.48;0.66;9.19;-0.20;0.21;-0.41;-22.01;-31.29;5.79
68;-1.54;0.69;9.22;-0.20;0.21;-0.41;-22.29;-31.39;5.92
77;-1.46;0.67;9.23;-0.20;0.21;-0.41;-22.07;-31.45;5.80
85;-1.48;0.70;9.25;-0.20;0.21;-0.41;-22.28;-31.35;5.81
94;-1.47;0.71;9.18;-0.20;0.21;-0.41;-22.27;-31.18;5.65
103;-1.45;0.66;9.14;-0.20;0.21;-0.41;-22.22;-31.31;5.81
112;-1.52;0.69;9.17;-0.20;0.21;-0.40;-22.38;-31.22;5.94
120;-1.50;0.68;9.21;-0.20;0.21;-0.40;-22.32;-31.22;5.85
129;-1.49;0.67;9.21;-0.20;0.21;-0.40;-22.30;-31.28;5.90
138;-1.46;0.69;9.17;-0.20;0.21;-0.41;-22.10;-31.33;5.82
147;-1.49;0.68;9.17;-0.20;0.21;-0.41;-22.22;-31.19;5.84
155;-1.47;0.71;9.17;-0.20;0.21;-0.41;-22.12;-31.32;5.68
164;-1.48;0.67;9.15;-0.20;0.22;-0.40;-22.33;-31.38;5.81
173;-1.48;0.68;9.27;-0.20;0.22;-0.40;-22.12;-31.20;5.95
182;-1.42;0.65;9.14;-0.20;0.21;-0.41;-22.30;-31.28;5.80
190;-1.51;0.66;9.10;-0.20;0.21;-0.41;-22.01;-31.50;5.84
199;-1.47;0.67;9.18;-0.20;0.21;-0.41;-22.06;-31.18;5.91
208;-1.54;0.67;9.15;-0.20;0.21;-0.40;-22.00;-31.31;5.76
217;-1.46;0.73;9.14;-0.20;0.21;-0.40;-22.40;-31.44;5.71
225;-1.48;0.67;9.19;-0.20;0.21;-0.40;-22.34;-31.12;5.70
234;-1.48;0.67;9.20;-0.20;0.21;-0.41;-22.07;-31.39;5.71
243;-1.42;0.69;9.24;-0.20;0.21;-0.41;-22.16;-31.46;5.67
252;-1.51;0.68;9.21;-0.20;0.21;-0.41;-21.97;-31.43;5.76
260;-1.48;0.70;9.23;-0.20;0.21;-0.39;-22.04;-31.39;5.69
269;-1.54;0.68;9.16;-0.20;0.21;-0.39;-22.25;-31.22;5.78
278;-1.44;0.70;9.22;-0.20;0.21;-0.39;-22.13;-31.19;5.91
287;-1.54;0.68;9.27;-0.20;0.21;-0.41;-22.30;-31.46;5.78
