Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
33;-2.66;-9.96;0.11;-0.16;0.89;-0.24;-7.21;-3.99;-0.49
42;-2.73;-10.00;0.14;-0.16;0.89;-0.24;-6.93;-4.69;0.00
50;-2.76;-9.91;0.00;-0.16;0.89;-0.24;-5.53;-6.72;1.33
59;-2.76;-9.72;0.05;-0.16;0.89;-0.24;-3.36;-8.82;2.24
68;-2.68;-9.73;0.11;-0.16;0.89;-0.24;-2.24;-9.24;2.87
77;-2.75;-9.68;0.33;-0.16;0.89;-0.24;-2.38;-8.40;2.87
85;-2.89;-9.55;0.26;-0.17;0.89;-0.24;-4.13;-6.58;2.10
94;-2.84;-9.54;0.23;-0.17;0.89;-0.24;-7.35;-4.90;1.12
103;-2.81;-9.57;0.21;-0.17;0.89;-0.24;-9.94;-3.01;0.00
112;-2.83;-9.58;0.40;-0.16;0.89;-0.24;-12.74;-1.05;-1.54
120;-2.88;-9.53;0.15;-0.16;0.89;-0.24;-14.07;0.42;-2.66
129;-2.79;-9.60;0.29;-0.16;0.89;-0.24;-14.35;0.42;-2.52
138;-2.87;-9.60;0.21;-0.16;0.88;-0.24;-12.53;-0.77;-1.89
147;-2.84;-9.66;0.26;-0.16;0.88;-0.24;-10.43;-2.45;-0.98
155;-2.76;-9.62;0.34;-0.16;0.88;-0.24;-7.14;-3.71;0.77
164;-2.68;-9.65;0.37;-0.17;0.88;-0.23;-3.85;-4.55;1.33
173;-2.68;-9.64;0.47;-0.17;0.88;-0.23;-3.50;-4.41;1.54
182;-2.64;-9.67;0.50;-0.17;1.03;-0.23;-4.48;-3.29;0.70
190;-2.66;-9.56;0.54;-0.17;0.89;-0.23;-6.93;-1.05;-0.28
199;-2.69;-9.58;0.54;-0.17;0.89;-0.23;-9.24;1.89;-1.33
208;-2.68;-9.57;0.46;-0.16;0.89;-0.23;-10.85;3.43;-2.45
217;-2.74;-9.60;0.38;-0.16;0.89;-0.23;-12.67;3.99;-3.29
225;-2.68;-9.53;0.46;-0.16;0.89;-0.23;-14.56;4.83;-4.62
234;-2.74;-9.56;0.41;-0.16;0.89;-0.24;-17.22;4.41;-5.18
243;-2.73;-9.59;0.46;-0.16;0.89;-0.24;-20.02;4.83;-6.16
252;-2.76;-9.68;0.52;-0.16;0.89;-0.24;-21.63;5.25;-7.56
260;-2.95;-9.66;0.55;-0.17;0.88;-0.24;-22.89;4.97;-8.54
269;-2.92;-9.67;0.79;-0.17;0.88;-0.24;-23.94;5.53;-8.61
278;-3.01;-9.68;0.87;-0.17;0.88;-0.24;-25.20;6.51;-9.38
287;-2.86;-9.60;0.99;-0.17;0.88;-0.26;-26.39;8.19;-10.36
295;-2.99;-9.56;1.18;-0.17;0.88;-0.26;-27.86;9.24;-11.41
304;-2.92;-9.65;1.06;-0.17;0.88;-0.26;-29.47;10.92;-12.88
313;-2.91;-9.50;1.16;-0.16;0.87;-0.24;-31.43;12.18;-14.21
322;-2.95;-9.66;1.26;-0.16;0.87;-0.24;-32.48;13.30;-15.12
330;-3.07;-9.67;1.24;-0.16;0.87;-0.24;-32.76;13.93;-15.40
339;-3.07;-9.69;1.16;-0.17;0.87;-0.25;-31.50;13.02;-15.05
348;-3.07;-9.68;1.40;-0.17;0.87;-0.25;-28.35;12.04;-14.28
357;-3.19;-9.50;1.31;-0.17;0.87;-0.25;-24.99;10.85;-13.30
365;-3.24;-9.47;1.38;-0.17;0.85;-0.26;-22.33;10.22;-12.39
374;-3.27;-9.52;1.31;-0.17;0.85;-0.26;-20.37;9.45;-12.11
