Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
33;-4.55;-9.20;-0.66;-0.18;0.90;-0.17;-6.44;-7.07;-2.73
41;-4.66;-9.30;-0.69;-0.18;0.90;-0.17;-5.25;-6.23;-1.75
50;-4.74;-9.29;-0.73;-0.18;0.90;-0.17;-5.67;-6.79;-2.03
59;-4.87;-9.38;-0.64;-0.20;0.88;-0.19;-5.11;-7.00;-1.19
68;-4.74;-9.33;-0.58;-0.20;0.88;-0.19;-3.78;-7.35;-1.19
77;-4.66;-9.29;-0.52;-0.20;0.88;-0.19;-3.15;-6.72;-0.56
85;-4.69;-9.32;-0.47;-0.19;0.89;-0.16;-3.78;-6.02;-0.49
94;-4.60;-9.15;-0.42;-0.19;0.89;-0.16;-4.34;-5.46;-0.14
103;-4.60;-9.08;-0.68;-0.19;0.89;-0.16;-4.55;-4.76;-0.35
112;-4.54;-9.04;-0.54;-0.19;0.88;-0.17;-3.92;-4.97;-1.40
121;-4.75;-9.04;-0.55;-0.19;0.88;-0.17;-4.06;-5.04;-1.33
130;-4.43;-9.05;-0.64;-0.19;0.88;-0.17;-4.06;-4.76;-0.91
138;-4.44;-8.97;-0.54;-0.19;0.89;-0.19;-3.57;-3.43;-1.33
147;-4.40;-8.94;-0.61;-0.19;0.89;-0.19;-3.01;-2.38;-1.26
156;-4.35;-8.94;-0.62;-0.19;0.90;-0.17;-2.10;-0.35;-1.61
165;-4.44;-8.99;-0.75;-0.19;0.90;-0.17;-0.14;0.77;-1.47
174;-4.34;-9.11;-0.81;-0.19;0.90;-0.17;0.77;1.40;-1.33
182;-4.46;-9.15;-0.88;-0.20;0.90;-0.17;1.05;1.33;-1.12
191;-4.41;-9.20;-0.96;-0.20;0.90;-0.17;1.05;0.42;-0.98
200;-4.42;-9.29;-1.05;-0.20;0.90;-0.17;-0.35;0.28;-0.49
209;-4.42;-9.17;-1.18;-0.19;0.89;-0.17;-2.10;-0.14;0.00
218;-4.56;-9.09;-1.17;-0.19;0.89;-0.17;-3.64;-0.70;0.49
226;-4.43;-9.16;-0.85;-0.19;0.89;-0.17;-3.08;-0.98;1.12
235;-4.49;-9.08;-0.73;-0.18;0.89;-0.17;-2.94;-1.12;1.19
244;-4.51;-9.12;-0.73;-0.18;0.89;-0.17;-2.24;-0.84;1.19
253;-4.31;-9.16;-0.62;-0.18;0.89;-0.17;-1.75;0.00;1.54
262;-4.40;-9.30;-0.65;-0.19;0.89;-0.18;-0.84;-0.28;2.38
270;-4.44;-9.50;-0.74;-0.19;0.89;-0.18;-0.35;-0.70;3.36
279;-4.30;-9.47;-0.89;-0.19;0.89;-0.18;0.07;-2.03;3.85
288;-4.24;-9.46;-0.72;-0.19;0.89;-0.17;0.49;-2.73;4.41
297;-4.31;-9.32;-0.69;-0.19;0.89;-0.17;0.56;-2.59;4.90
306;-4.33;-9.16;-0.72;-0.19;0.89;-0.17;0.21;-3.43;4.83
314;-4.36;-9.10;-0.80;-0.19;0.89;-0.18;-0.56;-2.66;3.71
323;-4.26;-8.97;-0.87;-0.19;0.89;-0.18;-1.75;-1.82;3.43
332;-4.32;-8.99;-0.93;-0.19;0.89;-0.18;-2.52;-1.33;2.66
341;-4.26;-9.04;-0.76;-0.18;0.89;-0.18;-3.29;-1.54;1.26
350;-4.35;-9.20;-0.76;-0.18;0.89;-0.18;-4.06;-1.75;1.61
359;-4.27;-9.23;-0.73;-0.18;0.89;-0.18;-4.76;-2.10;1.89
367;-4.26;-9.21;-0.85;-0.18;0.89;-0.17;-4.69;-2.24;2.03
376;-4.21;-9.27;-0.78;-0.18;0.89;-0.17;-5.25;-2.52;2.03
385;-4.19;-9.27;-0.73;-0.18;0.89;-0.17;-6.44;-2.52;1.68
394;-4.34;-9.30;-0.75;-0.19;0.89;-0.18;-7.70;-2.52;1.33
403;-4.32;-9.36;-0.79;-0.19;0.89;-0.18;-9.38;-2.03;1.82
411;-4.47;-9.37;-0.74;-0.19;0.89;-0.18;-12.32;-1.54;1.12
420;-4.39;-9.38;-0.63;-0.18;0.89;-0.19;-14.77;-1.33;0.77
429;-4.39;-9.48;-0.45;-0.18;0.89;-0.19;-17.22;0.35;1.19
438;-4.41;-9.48;-0.46;-0.19;0.89;-0.18;-18.41;0.21;1.26
447;-4.29;-9.45;-0.33;-0.19;0.89;-0.18;-17.57;0.00;1.75
456;-4.26;-9.43;-0.33;-0.19;0.89;-0.18;-15.89;-0.77;3.71
464;-4.08;-9.38;-0.23;-0.18;0.88;-0.18;-13.23;-1.33;4.41
473;-4.00;-7.39;-0.19;-0.18;0.88;-0.18;-10.85;-1.54;4.62
482;-3.94;-9.20;-0.15;-0.18;0.88;-0.18;-8.61;-2.17;4.97
491;-3.98;-9.06;-0.22;-0.19;0.89;-0.18;-7.14;-2.10;4.48
500;-4.00;-9.03;-0.19;-0.19;0.89;-0.18;-6.93;-1.75;3.50
508;-4.00;-9.07;-0.24;-0.19;0.89;-0.18;-8.82;-0.56;2.24
517;-4.07;-9.06;-0.11;-0.19;0.88;-0.20;-10.50;0.07;1.40
526;-3.96;-9.08;-0.21;-0.19;0.88;-0.20;-11.76;0.77;0.98
535;-3.96;-9.08;-0.11;-0.19;0.88;-0.20;-12.39;0.42;0.42
544;-4.03;-9.10;-0.13;-0.18;0.88;-0.19;-11.20;-17.78;0.35
552;-3.91;-9.21;-0.08;-0.18;0.88;-0.19;-9.66;-0.56;0.21
561;-3.91;-9.17;0.04;-0.18;0.88;-0.19;-9.03;-0.35;-0.07
570;-3.96;-9.20;-0.20;-0.18;0.87;-0.19;-8.82;0.21;0.84
579;-3.87;-9.33;-0.29;-0.18;0.87;-0.19;-8.68;0.70;0.91
588;-4.14;-9.31;-0.31;-0.18;0.87;-0.19;-8.05;0.14;1.61
597;-4.14;-9.49;-0.29;-0.19;0.88;-0.19;-7.14;-1.19;2.31
605;-4.26;-9.27;-0.38;-0.19;0.88;-0.19;-5.67;-2.31;3.36
614;-4.33;-9.34;-0.45;-0.19;0.88;-0.19;-6.30;-3.43;3.71
623;-4.37;-9.35;-0.48;-0.19;0.86;-0.19;-7.21;-4.48;4.48
632;-4.46;-9.34;-0.41;-0.19;0.86;-0.19;-7.98;-4.83;5.53
641;-4.34;-9.27;-0.41;-0.19;0.86;-0.19;-8.26;-6.09;6.23
649;-4.41;-9.14;-0.27;-0.19;0.88;-0.20;-7.63;-6.30;6.79
658;-4.38;-9.12;-0.22;-0.19;0.88;-0.20;-7.91;-5.81;7.70
667;-4.24;-9.12;-0.38;-0.19;0.88;-0.20;-7.42;-5.39;8.82
676;-4.11;-9.02;-0.19;-0.19;0.88;-0.19;-6.51;-5.39;9.10
685;-4.11;-8.93;-0.17;-0.19;0.88;-0.19;-6.72;-4.83;9.38
693;-4.15;-8.87;0.01;-0.19;0.88;-0.19;-6.51;-4.06;9.31
702;-4.13;-8.87;1.82;-0.18;0.88;-0.19;-6.86;-2.80;8.47
711;-4.18;-8.82;0.02;-0.18;0.88;-0.19;-5.46;-2.24;8.89
720;-4.13;-8.74;-0.02;-0.18;0.88;-0.19;-2.45;-2.17;8.47
729;-4.25;-8.71;-0.10;-0.18;0.88;-0.19;-0.21;-2.10;7.35
738;-4.21;-8.82;-0.12;-0.18;0.88;-0.19;0.07;-2.24;6.16
746;-4.34;-9.02;-0.17;-0.17;0.88;-0.19;-1.82;-1.96;4.48
755;-4.31;-9.14;-0.21;-0.17;0.88;-0.19;-4.34;-2.17;3.08
764;-4.15;-9.37;0.01;-0.17;0.88;-0.19;-6.79;-1.68;3.08
773;-4.18;-9.43;0.05;-0.18;0.89;-0.20;-6.51;-0.21;5.60
781;-4.20;-9.38;0.17;-0.18;0.89;-0.20;-5.04;0.84;7.07
790;-4.14;-9.23;0.20;-0.18;0.89;-0.20;-3.57;1.54;7.91
799;-4.24;-10.95;0.01;-0.18;0.89;-0.20;-0.49;1.26;8.61
808;-4.18;-9.03;0.04;-0.18;0.89;-0.20;2.24;0.28;7.98
