Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
7578.0;1.15;-1.57;9.38;0.09;0.07;0.21;2.1;4.9;2.1
7579.0;1.16;-1.55;9.51;0.09;0.07;0.21;0.63;2.73;0.63
7580.0;1.15;-1.56;9.45;0.09;0.07;0.21;-0.7;0.91;-0.7
7581.0;1.15;-1.46;9.3;0.08;0.05;0.2;-0.56;0.7;-0.56
7582.0;1.03;-1.46;9.4;0.08;0.05;0.2;1.05;2.87;1.05
7583.0;1.15;-1.62;9.37;0.08;0.06;0.18;1.89;4.62;1.89
7584.0;1.18;-1.52;9.45;0.08;0.06;0.18;0.91;3.64;0.91
7585.0;1.13;-1.52;9.48;0.08;0.06;0.19;-0.42;0.84;-0.42
7586.0;1.12;-1.54;9.3;0.08;0.06;0.19;-0.84;1.33;-0.84
7587.0;1.21;-1.49;9.42;0.08;0.06;0.19;0.28;2.03;0.28
7588.0;1.19;-1.51;9.39;0.07;0.05;0.19;1.4;4.06;1.4
7589.0;1.13;-1.54;9.43;0.07;0.05;0.19;1.75;4.27;1.75
7590.0;1.24;-1.58;9.48;0.07;0.05;0.19;0.91;2.59;0.91
7591.0;1.17;-1.46;9.47;0.07;0.05;0.2;-0.42;1.33;-0.42
7592.0;1.19;-1.61;9.41;0.07;0.05;0.2;-0.77;1.05;-0.77
7593.0;1.12;-1.5;9.3;0.07;0.05;0.2;0.07;1.68;0.07
7594.0;1.13;-1.48;9.5;0.08;0.06;0.19;1.33;2.94;1.33
7595.0;1.16;-1.57;9.46;0.08;0.06;0.19;2.03;4.34;2.03
7596.0;1.17;-1.64;9.39;0.08;0.06;0.19;1.4;3.57;1.4
7597.0;1.16;-1.56;9.5;0.09;0.06;0.18;-0.42;0.98;-0.42
7598.0;1.13;-1.49;9.39;0.09;0.06;0.18;-0.77;0.91;-0.77
7600.0;1.23;-1.49;9.48;0.09;0.06;0.19;1.33;3.71;1.33
7601.0;1.16;-1.53;9.52;0.09;0.06;0.19;1.47;3.99;1.47
7602.0;1.22;-1.57;9.46;0.09;0.06;0.18;0.35;2.24;0.35
7603.0;1.22;-1.53;9.53;0.09;0.06;0.18;-0.7;0.84;-0.7
7604.0;1.15;-1.5;9.43;0.08;0.06;0.17;-0.21;1.61;-0.21
7605.0;1.2;-1.59;9.33;0.08;0.06;0.17;0.91;3.5;0.91
7606.0;1.19;-1.56;9.43;0.08;0.06;0.17;1.82;4.48;1.82
7607.0;1.17;-1.62;9.53;0.09;0.04;0.18;0.56;3.29;0.56
7608.0;1.2;-1.53;9.41;0.09;0.04;0.18;-0.56;0.84;-0.56
7609.0;1.19;-1.41;9.43;0.08;0.06;0.19;-0.91;1.47;-0.91
7610.0;1.21;-1.49;9.3;0.08;0.06;0.19;0.7;2.94;0.7
7611.0;1.22;-1.49;9.42;0.08;0.06;0.19;1.75;3.85;1.75
7612.0;1.21;-1.51;9.37;0.08;0.06;0.19;0.77;3.43;0.77
7613.0;1.21;-1.54;9.45;0.08;0.06;0.19;-0.35;1.19;-0.35
7614.0;1.18;-1.54;9.37;0.08;0.06;0.19;-0.77;0.98;-0.77
7615.0;1.17;-1.53;9.36;0.09;0.06;0.19;0.0;2.03;0.0
7616.0;1.16;-1.56;9.4;0.09;0.06;0.19;0.56;3.57;0.56
7617.0;1.17;-1.56;9.49;0.09;0.06;0.19;1.75;4.2;1.75
7618.0;1.18;-1.56;9.41;0.08;0.06;0.2;1.12;3.22;1.12
7619.0;1.23;-1.45;9.4;0.08;0.06;0.2;-0.35;1.26;-0.35
7620.0;1.11;-1.51;9.4;0.08;0.06;0.2;-0.42;1.33;-0.42
7621.0;1.09;-1.45;9.43;0.08;0.06;0.2;-0.07;2.66;-0.07
7622.0;1.13;-1.46;9.37;0.08;0.06;0.2;1.4;3.36;1.4
7623.0;1.13;-1.52;9.55;0.08;0.06;0.18;0.98;3.64;0.98
7624.0;1.16;-1.56;9.43;0.08;0.06;0.18;-0.56;1.82;-0.56
7625.0;1.22;-1.55;9.36;0.07;0.06;0.19;-0.49;0.84;-0.49
7626.0;1.09;-1.46;9.42;0.07;0.06;0.19;0.07;2.73;0.07
7627.0;1.14;-1.51;9.38;0.07;0.06;0.19;1.4;4.13;1.4
7628.0;1.23;-1.54;9.43;0.07;0.06;0.19;1.19;3.15;1.19
7629.0;1.15;-1.51;9.51;0.07;0.06;0.19;-0.21;2.59;-0.21
7630.0;1.28;-1.54;9.32;0.08;0.06;0.2;-0.7;1.26;-0.7
7631.0;1.21;-1.57;9.31;0.08;0.06;0.2;0.21;2.24;0.21
7632.0;1.12;-1.49;9.45;0.08;0.06;0.19;0.91;3.43;0.91
7633.0;1.16;-1.54;9.39;0.08;0.06;0.19;1.26;3.64;1.26
7634.0;1.25;-1.46;9.53;0.08;0.06;0.19;0.28;2.03;0.28
7635.0;1.2;-1.55;9.39;0.08;0.06;0.2;-0.49;1.61;-0.49
7636.0;1.14;-1.5;9.38;0.08;0.06;0.2;0.28;1.82;0.28
7637.0;1.14;-1.51;9.43;0.08;0.06;0.19;0.56;3.08;0.56
7638.0;1.28;-1.53;9.5;0.08;0.06;0.19;0.77;3.5;0.77
7639.0;1.14;-1.56;9.45;0.08;0.06;0.19;0.63;2.45;0.63
7640.0;1.13;-1.6;9.42;0.08;0.06;0.18;-0.63;1.75;-0.63
7641.0;1.16;-1.51;9.42;0.08;0.06;0.18;0.21;1.26;0.21
7642.0;1.11;-1.5;9.37;0.09;0.06;0.19;0.7;3.29;0.7
7643.0;1.16;-1.56;9.4;0.09;0.06;0.19;0.91;3.99;0.91
7644.0;1.23;-1.49;9.48;0.09;0.06;0.19;0.91;2.24;0.91
7645.0;1.15;-1.55;9.43;0.08;0.06;0.2;-0.49;2.03;-0.49
7646.0;1.14;-1.46;9.46;0.08;0.06;0.2;-0.91;1.47;-0.91
7647.0;1.16;-1.46;9.4;0.09;0.06;0.19;0.63;1.89;0.63
7648.0;1.13;-1.48;9.4;0.09;0.06;0.19;1.05;3.71;1.05
7649.0;1.18;-1.59;9.45;0.09;0.06;0.19;1.12;3.5;1.12
7650.0;1.16;-1.47;9.4;0.09;0.06;0.17;0.14;1.75;0.14
7651.0;1.23;-1.49;9.43;0.09;0.06;0.17;-0.91;1.12;-0.91
7652.0;1.23;-1.55;9.43;0.09;0.05;0.19;0.28;2.1;0.28
7653.0;1.16;-1.51;9.38;0.09;0.05;0.19;0.56;3.36;0.56
7654.0;1.11;-1.56;9.5;0.09;0.05;0.19;1.12;4.06;1.12
7655.0;1.14;-1.59;9.39;0.09;0.07;0.2;-0.07;2.38;-0.07
7656.0;1.21;-1.59;9.4;0.09;0.07;0.2;-0.77;1.05;-0.77
7657.0;1.21;-1.51;9.38;0.08;0.07;0.19;-0.28;1.47;-0.28
7658.0;1.17;-1.57;9.46;0.08;0.07;0.19;0.84;3.36;0.84
7659.0;1.15;-1.56;9.35;0.08;0.07;0.19;1.05;3.64;1.05
7660.0;1.2;-1.59;9.4;0.08;0.05;0.19;0.91;2.73;0.91
7661.0;1.21;-1.54;9.49;0.08;0.05;0.19;-0.56;1.47;-0.56
7662.0;1.13;-1.52;9.28;0.08;0.06;0.19;-0.14;1.47;-0.14
7663.0;1.17;-1.54;9.4;0.08;0.06;0.19;0.42;2.59;0.42
7664.0;1.12;-1.55;9.45;0.08;0.06;0.19;1.26;3.29;1.26
7665.0;1.16;-1.49;9.53;0.08;0.05;0.2;0.77;3.29;0.77
7666.0;1.13;-1.56;9.42;0.08;0.05;0.2;0.28;2.73;0.28
7667.0;1.2;-1.49;9.4;0.08;0.05;0.2;-0.21;1.4;-0.21
7668.0;1.16;-1.5;9.42;0.07;0.06;0.19;0.28;1.19;0.28
