Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
33;-1.90;3.37;9.30;-0.24;0.48;-0.46;23.66;40.18;23.66
42;-1.40;2.89;9.74;-0.24;0.48;-0.46;28.21;34.44;28.21
51;-1.74;2.18;9.68;-0.24;0.48;-0.46;31.78;32.34;31.78
59;-1.54;1.97;9.55;-0.24;0.50;-0.45;28.49;32.13;28.49
69;-1.50;1.18;10.07;-0.24;0.50;-0.45;23.73;39.48;23.73
77;-1.84;1.26;9.83;-0.24;0.50;-0.45;16.52;50.12;16.52
86;-1.95;1.24;9.62;-0.23;0.49;-0.51;10.85;54.46;10.85
95;-1.67;1.46;9.17;-0.23;0.49;-0.51;6.72;54.74;6.72
104;-1.56;1.91;9.01;-0.23;0.49;-0.51;7.00;51.94;7.00
112;-1.64;2.17;8.84;-0.22;0.49;-0.47;8.96;42.70;8.96
121;-1.11;2.48;8.89;-0.22;0.49;-0.47;13.51;32.34;13.51
130;-0.63;2.33;9.03;-0.22;0.49;-0.47;22.75;22.40;22.75
139;-0.32;2.35;8.99;-0.22;0.50;-0.46;34.16;10.85;34.16
147;-0.22;2.61;8.92;-0.22;0.50;-0.46;41.93;3.64;41.93
156;-0.27;2.84;9.08;-0.22;0.50;-0.46;39.76;1.12;39.76
165;-0.54;2.71;9.06;-0.22;0.51;-0.47;30.80;6.09;30.80
174;-0.84;2.52;8.98;-0.22;0.51;-0.47;19.39;14.28;19.39
183;-0.98;2.30;9.07;-0.22;0.51;-0.47;10.92;20.02;10.92
191;-1.11;2.13;9.04;-0.20;0.52;-0.46;7.77;23.31;7.77
200;-1.23;2.10;9.02;-0.20;0.52;-0.46;7.84;20.72;7.84
209;-1.21;2.05;8.87;-0.21;0.52;-0.47;7.35;16.66;7.35
218;-0.86;1.99;8.88;-0.21;0.52;-0.47;6.65;11.55;6.65
226;-0.65;1.95;8.85;-0.21;0.52;-0.47;7.56;6.65;7.56
235;-0.41;1.97;8.82;-0.20;0.51;-0.48;9.94;1.61;9.94
244;-0.53;1.87;8.97;-0.20;0.51;-0.48;10.22;-0.56;10.22
253;-0.62;1.87;9.20;-0.20;0.51;-0.48;8.40;-0.63;8.40
261;-0.60;2.09;9.48;-0.20;0.53;-0.46;6.58;2.52;6.58
270;-0.80;2.34;9.63;-0.20;0.53;-0.46;3.36;6.23;3.36
279;-1.31;2.60;9.96;-0.20;0.53;-0.46;-4.55;9.45;-4.55
288;-1.50;2.81;9.62;-0.19;0.51;-0.47;-14.98;15.12;-14.98
297;-1.36;1.31;10.45;-0.19;0.51;-0.47;-11.27;16.10;-11.27
305;-1.18;2.05;10.39;-0.19;0.51;-0.47;17.22;15.12;17.22
314;-1.43;2.10;10.16;-0.16;0.51;-0.46;6.44;15.68;6.44
323;-1.29;1.97;10.06;-0.16;0.51;-0.46;13.02;8.82;13.02
332;-1.17;1.98;9.75;-0.16;0.51;-0.46;17.99;3.36;17.99
340;-1.14;1.62;9.81;-0.19;0.52;-0.48;22.82;-3.57;22.82
349;-1.13;1.61;9.67;-0.19;0.52;-0.48;23.66;-5.25;23.66
358;-0.92;1.36;9.76;-0.19;0.52;-0.48;19.88;-4.83;19.88
367;-0.80;1.29;9.71;-0.19;0.52;-0.48;16.17;-2.31;16.17
375;-0.90;1.42;9.72;-0.19;0.52;-0.48;11.76;-0.98;11.76
384;-0.97;1.23;9.83;-0.19;0.52;-0.48;10.71;0.35;10.71
394;-1.03;0.94;10.04;-0.20;0.53;-0.48;10.57;2.45;10.57
402;-0.97;1.00;9.97;-0.20;0.53;-0.48;10.29;4.76;10.29
411;-0.99;0.98;9.99;-0.20;0.53;-0.48;10.85;4.83;10.85
420;-0.76;1.06;9.88;-0.19;0.53;-0.48;14.35;2.87;14.35
429;-0.67;1.11;9.63;-0.19;0.53;-0.48;15.89;0.63;15.89
437;-0.31;1.16;9.46;-0.19;0.53;-0.48;11.41;-3.78;11.41
446;-0.14;1.02;9.36;-0.19;0.53;-0.48;5.11;-3.50;5.11
455;-0.04;1.18;9.46;-0.19;0.53;-0.48;-1.75;-0.49;-1.75
464;0.25;1.32;9.72;-0.19;0.53;-0.48;-0.91;-1.33;-0.91
472;0.45;1.55;9.81;-0.19;0.52;-0.48;-1.40;0.35;-1.40
481;0.46;1.54;9.91;-0.19;0.52;-0.48;-1.68;0.49;-1.68
490;0.60;1.72;9.87;-0.19;0.52;-0.48;-1.19;-5.32;-1.19
499;0.57;1.74;9.83;-0.19;0.52;-0.49;0.35;-9.94;0.35
508;0.52;1.49;9.78;-0.19;0.52;-0.49;2.03;-15.68;2.03
516;0.64;1.18;9.73;-0.20;0.52;-0.47;0.91;-20.16;0.91
525;0.85;0.99;9.96;-0.20;0.52;-0.47;-0.35;-19.32;-0.35
534;0.68;0.59;10.21;-0.20;0.52;-0.47;-3.71;-13.16;-3.71
543;0.45;0.56;10.28;-0.19;0.52;-0.47;-10.43;-7.49;-10.43
551;0.81;0.46;10.54;-0.19;0.52;-0.47;-17.43;-3.15;-17.43
560;1.21;0.60;10.95;-0.19;0.52;-0.47;-23.38;5.46;-23.38
569;1.88;0.99;10.89;-0.19;0.51;-0.48;-26.67;7.63;-26.67
578;3.14;1.37;10.86;-0.19;0.51;-0.48;-25.55;7.21;-25.55
586;4.66;1.98;11.12;-0.19;0.51;-0.48;-21.98;7.49;-21.98
595;6.37;2.61;11.62;-0.19;0.51;-0.47;-16.87;12.95;-16.87
604;7.53;2.94;11.52;-0.19;0.51;-0.47;-20.72;12.25;-20.72
613;9.20;3.76;11.74;-0.19;0.51;-0.47;-27.09;13.58;-27.09
622;10.91;4.39;11.89;-0.19;0.51;-0.48;-31.22;22.75;-31.22
630;12.00;4.72;11.44;-0.19;0.51;-0.48;-33.53;27.51;-33.53
639;13.61;5.05;10.61;-0.19;0.51;-0.48;-30.59;29.89;-30.59
648;14.82;4.95;9.97;-0.19;0.50;-0.48;-25.76;38.01;-25.76
657;15.56;5.05;9.02;-0.19;0.50;-0.48;-23.45;46.13;-23.45
665;15.22;4.95;7.80;-0.19;0.50;-0.48;-23.38;40.46;-23.38
674;14.49;5.04;3.83;-0.18;0.49;-0.48;-21.70;18.76;-21.70
683;13.22;5.94;2.07;-0.18;0.49;-0.48;-11.48;-10.71;-11.48
692;9.94;6.04;-1.39;-0.18;0.49;-0.48;-3.01;-56.14;-3.01
701;5.08;8.31;-4.87;-0.17;0.48;-0.47;1.12;-112.28;1.12
709;-1.29;9.65;-8.85;-0.17;0.48;-0.47;9.38;-180.81;9.38
718;-8.52;9.96;-11.40;-0.17;0.48;-0.47;24.92;-256.34;24.92
727;-14.11;10.04;-12.94;-0.19;0.48;-0.45;42.49;-333.62;42.49
736;-20.35;11.36;-11.21;-0.19;0.48;-0.45;44.59;-384.02;44.59
745;-30.85;12.66;-7.41;-0.19;0.48;-0.45;9.17;-409.57;9.17
753;-35.23;14.64;-6.21;-0.25;0.50;-0.40;-76.16;-396.62;-76.16
762;-47.42;15.79;2.38;-0.25;0.50;-0.40;-118.02;-381.85;-118.02
771;-54.45;2.07;22.49;-0.25;0.50;-0.40;-145.25;-343.00;-145.25
780;-56.77;-17.80;47.16;-0.33;0.47;-0.35;-109.13;-312.97;-109.13
789;-53.01;-59.62;67.28;-0.33;0.47;-0.35;96.67;-53.13;96.67
798;-29.55;-55.12;37.10;-0.33;0.47;-0.35;232.33;242.27;232.33
806;-14.34;-8.64;-1.32;-0.35;0.46;-0.33;156.45;310.87;156.45
815;-1.96;10.30;-15.35;-0.35;0.46;-0.33;-81.34;160.37;-81.34
824;4.19;16.50;-14.85;-0.30;0.48;-0.34;-296.87;149.31;-296.87
833;1.46;22.49;-12.84;-0.30;0.48;-0.34;-282.94;113.75;-282.94
841;4.58;25.15;-9.23;-0.30;0.48;-0.34;-86.31;12.81;-86.31
850;3.47;25.47;-5.82;-0.30;0.48;-0.35;11.34;-12.81;11.34
859;0.38;21.34;-3.29;-0.30;0.48;-0.35;-3.29;-31.15;-3.29
868;-3.10;10.48;1.64;-0.30;0.48;-0.35;-19.60;-64.89;-19.60
877;-7.09;2.66;6.80;-0.32;0.46;-0.34;-2.73;-72.80;-2.73
886;-10.00;-2.78;11.84;-0.32;0.46;-0.34;16.87;-59.36;16.87
895;-11.54;-6.01;14.77;-0.32;0.46;-0.34;15.26;-27.86;15.26
903;-11.00;-5.58;14.57;-0.32;0.46;-0.32;-4.76;-0.35;-4.76
912;-9.27;-2.61;11.31;-0.32;0.46;-0.32;-23.31;14.56;-23.31
921;-7.20;0.88;8.72;-0.32;0.46;-0.32;-40.67;19.46;-40.67
930;-5.95;3.92;6.73;-0.32;0.46;-0.34;-49.07;16.31;-49.07
938;-4.58;5.96;5.28;-0.32;0.46;-0.34;-36.61;5.81;-36.61
947;-3.70;6.91;4.51;-0.32;0.46;-0.34;-17.99;-6.02;-17.99
956;-3.48;6.82;4.68;-0.33;0.47;-0.32;-0.91;-18.69;-0.91
965;-3.57;5.69;5.13;-0.33;0.47;-0.32;7.98;-30.94;7.98
973;-4.42;4.15;6.04;-0.33;0.47;-0.32;7.00;-38.92;7.00
982;-5.42;2.69;7.71;-0.32;0.47;-0.32;1.54;-44.66;1.54
991;-6.32;1.62;9.30;-0.32;0.47;-0.32;-3.08;-42.28;-3.08
1000;-7.16;0.93;10.06;-0.32;0.47;-0.32;-5.53;-31.57;-5.53
1009;-7.01;1.61;10.11;-0.34;0.46;-0.37;-5.32;-19.39;-5.32
1017;-6.54;2.74;9.25;-0.34;0.46;-0.37;-0.49;-6.30;-0.49
1026;-5.80;3.63;8.23;-0.34;0.46;-0.37;4.76;1.47;4.76
1035;-5.30;4.25;6.92;-0.35;0.47;-0.31;6.58;5.88;6.58
1044;-4.70;4.70;5.66;-0.35;0.47;-0.31;7.49;3.36;7.49
1052;-4.37;4.61;4.56;-0.35;0.47;-0.31;8.05;-5.39;8.05
1061;-4.21;4.25;4.67;-0.34;0.48;-0.32;6.37;-18.20;6.37
1070;-4.76;3.74;5.46;-0.34;0.48;-0.32;-0.77;-26.81;-0.77
1078;-5.70;3.14;6.63;-0.34;0.48;-0.32;-13.51;-28.28;-13.51
1087;-6.55;2.78;7.98;-0.35;0.47;-0.30;-19.95;-25.48;-19.95
1096;-6.91;2.92;8.70;-0.35;0.47;-0.30;-17.99;-19.32;-17.99
1105;-6.73;3.37;8.33;-0.35;0.47;-0.30;-7.00;-12.32;-7.00
1114;-6.40;3.98;7.75;-0.35;0.47;-0.31;4.20;-9.59;4.20
1122;-6.00;4.19;7.06;-0.35;0.47;-0.31;12.04;-8.05;12.04
1131;-5.74;4.33;6.75;-0.35;0.48;-0.32;16.80;-8.96;16.80
1140;-5.62;4.03;6.29;-0.35;0.48;-0.32;20.58;-11.55;20.58
1149;-5.58;3.65;6.22;-0.35;0.48;-0.32;16.87;-14.77;16.87
1157;-5.79;3.25;6.36;-0.37;0.48;-0.31;9.94;-17.15;9.94
1166;-6.01;3.07;6.53;-0.37;0.48;-0.31;1.33;-17.01;1.33
1175;-6.51;2.67;6.89;-0.37;0.48;-0.31;-5.11;-18.62;-5.11
1184;-7.15;2.42;7.57;-0.35;0.49;-0.31;-7.70;-16.03;-7.70
1192;-7.70;2.44;8.38;-0.35;0.49;-0.31;-3.78;-9.66;-3.78
1201;-7.92;2.46;8.84;-0.35;0.49;-0.31;6.16;-0.91;6.16
1210;-8.02;2.81;8.84;-0.35;0.48;-0.30;20.37;8.96;20.37
1219;-8.16;3.24;8.64;-0.35;0.48;-0.30;34.16;17.22;34.16
1228;-7.72;3.50;7.97;-0.35;0.48;-0.30;44.52;22.19;44.52
1237;-7.12;3.41;7.24;-0.34;0.49;-0.31;48.23;27.23;48.23
1245;-6.88;3.49;6.58;-0.34;0.49;-0.31;43.19;32.20;43.19
1254;-6.52;2.98;5.83;-0.34;0.49;-0.31;33.04;32.62;33.04
1263;-6.25;2.25;5.50;-0.29;0.50;-0.36;17.71;30.73;17.71
1272;-6.57;2.12;5.56;-0.29;0.50;-0.36;-3.15;29.05;-3.15
1280;-7.09;2.14;5.93;-0.29;0.50;-0.36;-19.88;28.84;-19.88
1289;-7.80;2.20;6.47;-0.32;0.50;-0.41;-32.69;29.82;-32.69
1298;-8.52;2.17;7.01;-0.32;0.50;-0.41;-38.78;33.18;-38.78
1307;-9.17;2.36;7.57;-0.32;0.50;-0.41;-35.07;38.85;-35.07
1316;-9.05;2.65;7.75;-0.33;0.49;-0.36;-24.92;45.15;-24.92
1325;-8.98;2.91;7.86;-0.33;0.49;-0.36;-10.43;51.73;-10.43
1333;-8.03;3.08;7.44;-0.33;0.49;-0.36;-1.89;56.49;-1.89
1342;-7.49;3.29;7.13;-0.32;0.50;-0.34;1.68;58.94;1.68
1351;-5.56;3.45;6.81;-0.32;0.50;-0.34;-1.26;59.50;-1.26
1360;-7.06;3.36;6.58;-0.32;0.50;-0.34;-9.10;60.20;-9.10
1368;-7.13;3.17;6.38;-0.30;0.50;-0.34;-18.34;63.35;-18.34
1377;-7.34;2.97;6.30;-0.30;0.50;-0.34;-24.78;66.85;-24.78
1386;-7.38;2.81;6.48;-0.30;0.50;-0.34;-24.71;66.99;-24.71
1395;-7.19;2.96;6.50;-0.29;0.48;-0.36;-17.78;65.59;-17.78
1404;-7.18;3.19;6.61;-0.29;0.48;-0.36;-7.70;63.63;-7.70
1412;-7.06;3.21;6.89;-0.29;0.48;-0.36;3.78;56.21;3.78
1421;-6.65;2.90;7.13;-0.28;0.48;-0.38;11.62;47.46;11.62
1430;-6.30;2.83;7.33;-0.28;0.48;-0.38;14.70;42.07;14.70
1439;-6.25;2.84;7.77;-0.28;0.48;-0.38;10.50;46.41;10.50
1447;-5.92;3.08;7.72;-0.27;0.48;-0.38;2.31;51.94;2.31
1456;-5.51;3.31;7.53;-0.27;0.48;-0.38;-9.10;60.34;-9.10
1465;-5.74;3.42;7.43;-0.26;0.47;-0.41;-17.92;63.49;-17.92
1474;-5.53;3.34;9.15;-0.26;0.47;-0.41;-18.34;60.55;-18.34
1482;-4.93;3.19;7.30;-0.26;0.47;-0.41;-14.98;58.66;-14.98
1491;-5.00;3.24;7.43;-0.25;0.46;-0.40;-15.89;59.78;-15.89
1500;-4.44;3.35;7.23;-0.25;0.46;-0.40;-12.32;57.12;-12.32
1509;-4.04;3.51;7.45;-0.25;0.46;-0.40;-5.32;51.94;-5.32
1518;-4.18;3.96;7.91;-0.27;0.46;-0.42;0.84;48.30;0.84
1526;-3.74;4.28;8.21;-0.27;0.46;-0.42;9.31;40.74;9.31
1535;-3.04;4.62;8.60;-0.27;0.46;-0.42;20.23;35.98;20.23
1544;-2.66;4.77;8.69;-0.25;0.46;-0.42;30.24;35.28;30.24
1553;-2.36;4.62;8.59;-0.25;0.46;-0.42;38.01;35.98;38.01
1561;-1.90;4.14;8.28;-0.25;0.46;-0.42;44.73;39.13;44.73
1570;-2.09;3.56;8.03;-0.25;0.47;-0.44;46.34;44.66;46.34
1579;-2.05;2.66;7.67;-0.25;0.47;-0.44;41.02;47.88;41.02
1588;-2.40;2.07;7.31;-0.25;0.47;-0.44;34.16;50.96;34.16
1597;-2.56;1.62;7.21;-0.21;0.48;-0.54;24.29;45.22;24.29
1605;-2.35;1.62;7.19;-0.21;0.48;-0.54;22.61;39.48;22.61
1614;-2.57;2.08;7.59;-0.21;0.48;-0.54;22.68;28.56;22.68
1623;-2.21;2.39;7.98;-0.24;0.48;-0.44;27.72;22.26;27.72
1632;-1.87;2.72;8.55;-0.24;0.48;-0.44;36.82;17.71;36.82
1641;-1.66;3.10;8.94;-0.24;0.48;-0.44;47.67;17.15;47.67
1649;-1.03;3.34;8.87;-0.23;0.49;-0.50;62.93;13.72;62.93
1658;-0.28;2.80;9.19;-0.23;0.49;-0.50;66.50;16.94;66.50
1667;-0.16;2.31;9.24;-0.23;0.49;-0.50;58.10;29.89;58.10
1676;-0.52;1.66;8.92;-0.23;0.51;-0.45;45.22;39.90;45.22
1684;-1.18;0.75;8.62;-0.23;0.51;-0.45;32.34;43.26;32.34
1693;-1.53;0.11;8.74;-0.23;0.51;-0.45;19.32;39.13;19.32
